Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsBeneficial Nature	Lv. 100	190 - 284	104 - 207	93 - 196	82 - 185	82 - 185	128 - 232
Base Stats - Total: 349	Base Stats - Total: 349	63	60	55	50	50	71
Max StatsHindering Nature	Lv. 100	236 - 330	112 - 197	103 - 188	94 - 179	94 - 179	132 - 216
Max StatsNeutral Nature	Lv. 100	236 - 330	125 - 219	115 - 209	105 - 199	105 - 199	147 - 241
Max StatsBeneficial Nature	Lv. 100	236 - 330	137 - 240	126 - 229	115 - 218	115 - 218	161 - 265
Base Stats - Total: 479	Base Stats - Total: 479	83	80	75	70	70	101
Max StatsHindering Nature	Lv. 100	276 - 370	148 - 233	139 - 224	130 - 215	130 - 215	186 - 270
Max StatsNeutral Nature	Lv. 100	276 - 370	165 - 259	155 - 249	145 - 239	145 - 239	207 - 301
Max StatsBeneficial Nature	Lv. 100	276 - 370	181 - 284	170 - 273	159 - 262	159 - 262	227 - 331
Base Stats - Total: 253	Base Stats - Total: 253	30	56	35	25	35	72
Max StatsHindering Nature	Lv. 100	170 - 264	105 - 189	67 - 152	49 - 134	67 - 152	134 - 218
Max StatsNeutral Nature	Lv. 100	170 - 264	117 - 211	75 - 169	55 - 149	75 - 169	149 - 243
Max StatsBeneficial Nature	Lv. 100	170 - 264	128 - 232	82 - 185	60 - 163	82 - 185	163 - 267
Base Stats - Total: 413	Base Stats - Total: 413	55	81	60	50	70	97
Max StatsHindering Nature	Lv. 100	220 - 314	150 - 234	112 - 197	94 - 179	130 - 215	179 - 263
Max StatsNeutral Nature	Lv. 100	220 - 314	167 - 261	125 - 219	105 - 199	145 - 239	199 - 293
Max StatsBeneficial Nature	Lv. 100	220 - 314	183 - 287	137 - 240	115 - 218	159 - 262	218 - 322
Base Stats - Total: 262	Base Stats - Total: 262	40	60	30	31	31	70
Max StatsHindering Nature	Lv. 100	190 - 284	112 - 197	58 - 143	60 - 144	60 - 144	130 - 215
Max StatsNeutral Nature	Lv. 100	190 - 284	125 - 219	65 - 159	67 - 161	67 - 161	145 - 239
Max StatsBeneficial Nature	Lv. 100	190 - 284	137 - 240	71 - 174	73 - 177	73 - 177	159 - 262
Base Stats - Total: 442	Base Stats - Total: 442	65	90	65	61	61	100
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	121 - 206	114 - 198	114 - 198	184 - 269
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	135 - 229	127 - 221	127 - 221	205 - 299
Max StatsBeneficial Nature	Lv. 100	240 - 334	203 - 306	148 - 251	139 - 243	139 - 243	225 - 328
Base Stats - Total: 288	Base Stats - Total: 288	35	60	44	40	54	55
Max StatsHindering Nature	Lv. 100	180 - 274	112 - 197	83 - 168	76 - 161	101 - 186	103 - 188
Max StatsNeutral Nature	Lv. 100	180 - 274	125 - 219	93 - 187	85 - 179	113 - 207	115 - 209
Max StatsBeneficial Nature	Lv. 100	180 - 274	137 - 240	102 - 205	93 - 196	124 - 227	126 - 229
Base Stats - Total: 448	Base Stats - Total: 448	60	95	69	65	79	80
Max StatsHindering Nature	Lv. 100	230 - 324	175 - 260	128 - 213	121 - 206	146 - 231	148 - 233
Max StatsNeutral Nature	Lv. 100	230 - 324	195 - 289	143 - 237	135 - 229	163 - 257	165 - 259
Max StatsBeneficial Nature	Lv. 100	230 - 324	214 - 317	157 - 260	148 - 251	179 - 282	181 - 284
Base Stats - Total: 320	Base Stats - Total: 320	35	55	40	50	50	90
Max StatsHindering Nature	Lv. 100	180 - 274	103 - 188	76 - 161	94 - 179	94 - 179	166 - 251
Max StatsNeutral Nature	Lv. 100	180 - 274	115 - 209	85 - 179	105 - 199	105 - 199	185 - 279
Max StatsBeneficial Nature	Lv. 100	180 - 274	126 - 229	93 - 196	115 - 218	115 - 218	203 - 306
Base Stats - Total: 485	Base Stats - Total: 485	60	90	55	90	80	110
Max StatsHindering Nature	Lv. 100	230 - 324	166 - 251	103 - 188	166 - 251	148 - 233	202 - 287
Max StatsNeutral Nature	Lv. 100	230 - 324	185 - 279	115 - 209	185 - 279	165 - 259	225 - 319
Max StatsBeneficial Nature	Lv. 100	230 - 324	203 - 306	126 - 229	203 - 306	181 - 284	247 - 350
Base Stats - Total: 300	Base Stats - Total: 300	50	75	85	20	30	40
Max StatsHindering Nature	Lv. 100	210 - 304	139 - 224	157 - 242	40 - 125	58 - 143	76 - 161
Max StatsNeutral Nature	Lv. 100	210 - 304	155 - 249	175 - 269	45 - 139	65 - 159	85 - 179
Max StatsBeneficial Nature	Lv. 100	210 - 304	170 - 273	192 - 295	49 - 152	71 - 174	93 - 196
Base Stats - Total: 450	Base Stats - Total: 450	75	100	110	45	55	65
Max StatsHindering Nature	Lv. 100	260 - 354	184 - 269	202 - 287	85 - 170	103 - 188	121 - 206
Max StatsNeutral Nature	Lv. 100	260 - 354	205 - 299	225 - 319	95 - 189	115 - 209	135 - 229
Max StatsBeneficial Nature	Lv. 100	260 - 354	225 - 328	247 - 350	104 - 207	126 - 229	148 - 251
Base Stats - Total: 275	Base Stats - Total: 275	55	47	52	40	40	41
Max StatsHindering Nature	Lv. 100	220 - 314	89 - 173	98 - 182	76 - 161	76 - 161	78 - 162
Max StatsNeutral Nature	Lv. 100	220 - 314	99 - 193	109 - 203	85 - 179	85 - 179	87 - 181
Max StatsBeneficial Nature	Lv. 100	220 - 314	108 - 212	119 - 223	93 - 196	93 - 196	95 - 199
Base Stats - Total: 365	Base Stats - Total: 365	70	62	67	55	55	56
Max StatsHindering Nature	Lv. 100	250 - 344	116 - 200	125 - 209	103 - 188	103 - 188	105 - 189
Max StatsNeutral Nature	Lv. 100	250 - 344	129 - 223	139 - 233	115 - 209	115 - 209	117 - 211
Max StatsBeneficial Nature	Lv. 100	250 - 344	141 - 245	152 - 256	126 - 229	126 - 229	128 - 232
Base Stats - Total: 505	Base Stats - Total: 505	90	92	87	75	85	76
Max StatsHindering Nature	Lv. 100	290 - 384	170 - 254	161 - 245	139 - 224	157 - 242	141 - 225
Max StatsNeutral Nature	Lv. 100	290 - 384	189 - 283	179 - 273	155 - 249	175 - 269	157 - 251
Max StatsBeneficial Nature	Lv. 100	290 - 384	207 - 311	196 - 300	170 - 273	192 - 295	172 - 276
Base Stats - Total: 273	Base Stats - Total: 273	46	57	40	40	40	50
Max StatsHindering Nature	Lv. 100	202 - 296	107 - 191	76 - 161	76 - 161	76 - 161	94 - 179
Max StatsNeutral Nature	Lv. 100	202 - 296	119 - 213	85 - 179	85 - 179	85 - 179	105 - 199
Max StatsBeneficial Nature	Lv. 100	202 - 296	130 - 234	93 - 196	93 - 196	93 - 196	115 - 218
Base Stats - Total: 365	Base Stats - Total: 365	61	72	57	55	55	65
Max StatsHindering Nature	Lv. 100	232 - 326	134 - 218	107 - 191	103 - 188	103 - 188	121 - 206
Max StatsNeutral Nature	Lv. 100	232 - 326	149 - 243	119 - 213	115 - 209	115 - 209	135 - 229
Max StatsBeneficial Nature	Lv. 100	232 - 326	163 - 267	130 - 234	126 - 229	126 - 229	148 - 251
Base Stats - Total: 505	Base Stats - Total: 505	81	102	77	85	75	85
Max StatsHindering Nature	Lv. 100	272 - 366	188 - 272	143 - 227	157 - 242	139 - 224	157 - 242
Max StatsNeutral Nature	Lv. 100	272 - 366	209 - 303	159 - 253	175 - 269	155 - 249	175 - 269
Max StatsBeneficial Nature	Lv. 100	272 - 366	229 - 333	174 - 278	192 - 295	170 - 273	192 - 295
Base Stats - Total: 323	Base Stats - Total: 323	70	45	48	60	65	35
Max StatsHindering Nature	Lv. 100	250 - 344	85 - 170	90 - 175	112 - 197	121 - 206	67 - 152
Max StatsNeutral Nature	Lv. 100	250 - 344	95 - 189	101 - 195	125 - 219	135 - 229	75 - 169
Max StatsBeneficial Nature	Lv. 100	250 - 344	104 - 207	111 - 214	137 - 240	148 - 251	82 - 185
Base Stats - Total: 483	Base Stats - Total: 483	95	70	73	95	90	60
Max StatsHindering Nature	Lv. 100	300 - 394	130 - 215	135 - 220	175 - 260	166 - 251	112 - 197
Max StatsNeutral Nature	Lv. 100	300 - 394	145 - 239	151 - 245	195 - 289	185 - 279	125 - 219
Max StatsBeneficial Nature	Lv. 100	300 - 394	159 - 262	166 - 269	214 - 317	203 - 306	137 - 240
Base Stats - Total: 299	Base Stats - Total: 299	38	41	40	50	65	65
Max StatsHindering Nature	Lv. 100	186 - 280	78 - 162	76 - 161	94 - 179	121 - 206	121 - 206
Max StatsNeutral Nature	Lv. 100	186 - 280	87 - 181	85 - 179	105 - 199	135 - 229	135 - 229
Max StatsBeneficial Nature	Lv. 100	186 - 280	95 - 199	93 - 196	115 - 218	148 - 251	148 - 251
Base Stats - Total: 505	Base Stats - Total: 505	73	76	75	81	100	100
Max StatsHindering Nature	Lv. 100	256 - 350	141 - 225	139 - 224	150 - 234	184 - 269	184 - 269
Max StatsNeutral Nature	Lv. 100	256 - 350	157 - 251	155 - 249	167 - 261	205 - 299	205 - 299
Max StatsBeneficial Nature	Lv. 100	256 - 350	172 - 276	170 - 273	183 - 287	225 - 328	225 - 328
Base Stats - Total: 270	Base Stats - Total: 270	115	45	20	45	25	20
Max StatsHindering Nature	Lv. 100	340 - 434	85 - 170	40 - 125	85 - 170	49 - 134	40 - 125
Max StatsNeutral Nature	Lv. 100	340 - 434	95 - 189	45 - 139	95 - 189	55 - 149	45 - 139
Max StatsBeneficial Nature	Lv. 100	340 - 434	104 - 207	49 - 152	104 - 207	60 - 163	49 - 152
Base Stats - Total: 435	Base Stats - Total: 435	140	70	45	85	50	45
Max StatsHindering Nature	Lv. 100	390 - 484	130 - 215	85 - 170	157 - 242	94 - 179	85 - 170
Max StatsNeutral Nature	Lv. 100	390 - 484	145 - 239	95 - 189	175 - 269	105 - 199	95 - 189
Max StatsBeneficial Nature	Lv. 100	390 - 484	159 - 262	104 - 207	192 - 295	115 - 218	104 - 207
Base Stats - Total: 245	Base Stats - Total: 245	40	45	35	30	40	55
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	67 - 152	58 - 143	76 - 161	103 - 188
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	75 - 169	65 - 159	85 - 179	115 - 209
Max StatsBeneficial Nature	Lv. 100	190 - 284	104 - 207	82 - 185	71 - 174	93 - 196	126 - 229
Base Stats - Total: 455	Base Stats - Total: 455	75	80	70	65	75	90
Max StatsHindering Nature	Lv. 100	260 - 354	148 - 233	130 - 215	121 - 206	139 - 224	166 - 251
Max StatsNeutral Nature	Lv. 100	260 - 354	165 - 259	145 - 239	135 - 229	155 - 249	185 - 279
Max StatsBeneficial Nature	Lv. 100	260 - 354	181 - 284	159 - 262	148 - 251	170 - 273	203 - 306
Base Stats - Total: 320	Base Stats - Total: 320	45	50	55	75	65	30
Max StatsHindering Nature	Lv. 100	200 - 294	94 - 179	103 - 188	139 - 224	121 - 206	58 - 143
Max StatsNeutral Nature	Lv. 100	200 - 294	105 - 199	115 - 209	155 - 249	135 - 229	65 - 159
Max StatsBeneficial Nature	Lv. 100	200 - 294	115 - 218	126 - 229	170 - 273	148 - 251	71 - 174
Base Stats - Total: 395	Base Stats - Total: 395	60	65	70	85	75	40
Max StatsHindering Nature	Lv. 100	230 - 324	121 - 206	130 - 215	157 - 242	139 - 224	76 - 161
Max StatsNeutral Nature	Lv. 100	230 - 324	135 - 229	145 - 239	175 - 269	155 - 249	85 - 179
Max StatsBeneficial Nature	Lv. 100	230 - 324	148 - 251	159 - 262	192 - 295	170 - 273	93 - 196
Base Stats - Total: 490	Base Stats - Total: 490	75	80	85	110	90	50
Max StatsHindering Nature	Lv. 100	260 - 354	148 - 233	157 - 242	202 - 287	166 - 251	94 - 179
Max StatsNeutral Nature	Lv. 100	260 - 354	165 - 259	175 - 269	225 - 319	185 - 279	105 - 199
Max StatsBeneficial Nature	Lv. 100	260 - 354	181 - 284	192 - 295	247 - 350	203 - 306	115 - 218
Base Stats - Total: 285	Base Stats - Total: 285	35	70	55	45	55	25
Max StatsHindering Nature	Lv. 100	180 - 274	130 - 215	103 - 188	85 - 170	103 - 188	49 - 134
Max StatsNeutral Nature	Lv. 100	180 - 274	145 - 239	115 - 209	95 - 189	115 - 209	55 - 149
Max StatsBeneficial Nature	Lv. 100	180 - 274	159 - 262	126 - 229	104 - 207	126 - 229	60 - 163
Base Stats - Total: 405	Base Stats - Total: 405	60	95	80	60	80	30
Max StatsHindering Nature	Lv. 100	230 - 324	175 - 260	148 - 233	112 - 197	148 - 233	58 - 143
Max StatsNeutral Nature	Lv. 100	230 - 324	195 - 289	165 - 259	125 - 219	165 - 259	65 - 159
Max StatsBeneficial Nature	Lv. 100	230 - 324	214 - 317	181 - 284	137 - 240	181 - 284	71 - 174
Base Stats - Total: 305	Base Stats - Total: 305	60	55	50	40	55	45
Max StatsHindering Nature	Lv. 100	230 - 324	103 - 188	94 - 179	76 - 161	103 - 188	85 - 170
Max StatsNeutral Nature	Lv. 100	230 - 324	115 - 209	105 - 199	85 - 179	115 - 209	95 - 189
Max StatsBeneficial Nature	Lv. 100	230 - 324	126 - 229	115 - 218	93 - 196	126 - 229	104 - 207
Base Stats - Total: 450	Base Stats - Total: 450	70	65	60	90	75	90
Max StatsHindering Nature	Lv. 100	250 - 344	121 - 206	112 - 197	166 - 251	139 - 224	166 - 251
Max StatsNeutral Nature	Lv. 100	250 - 344	135 - 229	125 - 219	185 - 279	155 - 249	185 - 279
Max StatsBeneficial Nature	Lv. 100	250 - 344	148 - 251	137 - 240	203 - 306	170 - 273	203 - 306
Base Stats - Total: 265	Base Stats - Total: 265	10	55	25	35	45	95
Max StatsHindering Nature	Lv. 100	130 - 224	103 - 188	49 - 134	67 - 152	85 - 170	175 - 260
Max StatsNeutral Nature	Lv. 100	130 - 224	115 - 209	55 - 149	75 - 169	95 - 189	195 - 289
Max StatsBeneficial Nature	Lv. 100	130 - 224	126 - 229	60 - 163	82 - 185	104 - 207	214 - 317
Base Stats - Total: 425	Base Stats - Total: 425	35	100	50	50	70	120
Max StatsHindering Nature	Lv. 100	180 - 274	184 - 269	94 - 179	94 - 179	130 - 215	220 - 305
Max StatsNeutral Nature	Lv. 100	180 - 274	205 - 299	105 - 199	105 - 199	145 - 239	245 - 339
Max StatsBeneficial Nature	Lv. 100	180 - 274	225 - 328	115 - 218	115 - 218	159 - 262	269 - 372
Base Stats - Total: 290	Base Stats - Total: 290	40	45	35	40	40	90
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	67 - 152	76 - 161	76 - 161	166 - 251
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	75 - 169	85 - 179	85 - 179	185 - 279
Max StatsBeneficial Nature	Lv. 100	190 - 284	104 - 207	82 - 185	93 - 196	93 - 196	203 - 306
Base Stats - Total: 440	Base Stats - Total: 440	65	70	60	65	65	115
Max StatsHindering Nature	Lv. 100	240 - 334	130 - 215	112 - 197	121 - 206	121 - 206	211 - 296
Max StatsNeutral Nature	Lv. 100	240 - 334	145 - 239	125 - 219	135 - 229	135 - 229	235 - 329
Max StatsBeneficial Nature	Lv. 100	240 - 334	159 - 262	137 - 240	148 - 251	148 - 251	258 - 361
Base Stats - Total: 320	Base Stats - Total: 320	50	52	48	65	50	55
Max StatsHindering Nature	Lv. 100	210 - 304	98 - 182	90 - 175	121 - 206	94 - 179	103 - 188
Max StatsNeutral Nature	Lv. 100	210 - 304	109 - 203	101 - 195	135 - 229	105 - 199	115 - 209
Max StatsBeneficial Nature	Lv. 100	210 - 304	119 - 223	111 - 214	148 - 251	115 - 218	126 - 229
Base Stats - Total: 500	Base Stats - Total: 500	80	82	78	95	80	85
Max StatsHindering Nature	Lv. 100	270 - 364	152 - 236	144 - 229	175 - 260	148 - 233	157 - 242
Max StatsNeutral Nature	Lv. 100	270 - 364	169 - 263	161 - 255	195 - 289	165 - 259	175 - 269
Max StatsBeneficial Nature	Lv. 100	270 - 364	185 - 289	177 - 280	214 - 317	181 - 284	192 - 295
Base Stats - Total: 305	Base Stats - Total: 305	40	80	35	35	45	70
Max StatsHindering Nature	Lv. 100	190 - 284	148 - 233	67 - 152	67 - 152	85 - 170	130 - 215
Max StatsNeutral Nature	Lv. 100	190 - 284	165 - 259	75 - 169	75 - 169	95 - 189	145 - 239
Max StatsBeneficial Nature	Lv. 100	190 - 284	181 - 284	82 - 185	82 - 185	104 - 207	159 - 262
Base Stats - Total: 455	Base Stats - Total: 455	65	105	60	60	70	95
Max StatsHindering Nature	Lv. 100	240 - 334	193 - 278	112 - 197	112 - 197	130 - 215	175 - 260
Max StatsNeutral Nature	Lv. 100	240 - 334	215 - 309	125 - 219	125 - 219	145 - 239	195 - 289
Max StatsBeneficial Nature	Lv. 100	240 - 334	236 - 339	137 - 240	137 - 240	159 - 262	214 - 317
Base Stats - Total: 350	Base Stats - Total: 350	55	70	45	70	50	60
Max StatsHindering Nature	Lv. 100	220 - 314	130 - 215	85 - 170	130 - 215	94 - 179	112 - 197
Max StatsNeutral Nature	Lv. 100	220 - 314	145 - 239	95 - 189	145 - 239	105 - 199	125 - 219
Max StatsBeneficial Nature	Lv. 100	220 - 314	159 - 262	104 - 207	159 - 262	115 - 218	137 - 240
Base Stats - Total: 555	Base Stats - Total: 555	90	110	80	100	80	95
Max StatsHindering Nature	Lv. 100	290 - 384	202 - 287	148 - 233	184 - 269	148 - 233	175 - 260
Max StatsNeutral Nature	Lv. 100	290 - 384	225 - 319	165 - 259	205 - 299	165 - 259	195 - 289
Max StatsBeneficial Nature	Lv. 100	290 - 384	247 - 350	181 - 284	225 - 328	181 - 284	214 - 317
Base Stats - Total: 300	Base Stats - Total: 300	40	50	40	40	40	90
Max StatsHindering Nature	Lv. 100	190 - 284	94 - 179	76 - 161	76 - 161	76 - 161	166 - 251
Max StatsNeutral Nature	Lv. 100	190 - 284	105 - 199	85 - 179	85 - 179	85 - 179	185 - 279
Max StatsBeneficial Nature	Lv. 100	190 - 284	115 - 218	93 - 196	93 - 196	93 - 196	203 - 306
Base Stats - Total: 385	Base Stats - Total: 385	65	65	65	50	50	90
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	121 - 206	94 - 179	94 - 179	166 - 251
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	135 - 229	105 - 199	105 - 199	185 - 279
Max StatsBeneficial Nature	Lv. 100	240 - 334	148 - 251	148 - 251	115 - 218	115 - 218	203 - 306
Base Stats - Total: 510	Base Stats - Total: 510	90	95	95	70	90	70
Max StatsHindering Nature	Lv. 100	290 - 384	175 - 260	175 - 260	130 - 215	166 - 251	130 - 215
Max StatsNeutral Nature	Lv. 100	290 - 384	195 - 289	195 - 289	145 - 239	185 - 279	145 - 239
Max StatsBeneficial Nature	Lv. 100	290 - 384	214 - 317	214 - 317	159 - 262	203 - 306	159 - 262
Base Stats - Total: 310	Base Stats - Total: 310	25	20	15	105	55	90
Max StatsHindering Nature	Lv. 100	160 - 254	40 - 125	31 - 116	193 - 278	103 - 188	166 - 251
Max StatsNeutral Nature	Lv. 100	160 - 254	45 - 139	35 - 129	215 - 309	115 - 209	185 - 279
Max StatsBeneficial Nature	Lv. 100	160 - 254	49 - 152	38 - 141	236 - 339	126 - 229	203 - 306
Base Stats - Total: 400	Base Stats - Total: 400	40	35	30	120	70	105
Max StatsHindering Nature	Lv. 100	190 - 284	67 - 152	58 - 143	220 - 305	130 - 215	193 - 278
Max StatsNeutral Nature	Lv. 100	190 - 284	75 - 169	65 - 159	245 - 339	145 - 239	215 - 309
Max StatsBeneficial Nature	Lv. 100	190 - 284	82 - 185	71 - 174	269 - 372	159 - 262	236 - 339
Base Stats - Total: 500	Base Stats - Total: 500	55	50	45	135	95	120
Max StatsHindering Nature	Lv. 100	220 - 314	94 - 179	85 - 170	247 - 332	175 - 260	220 - 305
Max StatsNeutral Nature	Lv. 100	220 - 314	105 - 199	95 - 189	275 - 369	195 - 289	245 - 339
Max StatsBeneficial Nature	Lv. 100	220 - 314	115 - 218	104 - 207	302 - 405	214 - 317	269 - 372
Base Stats - Total: 305	Base Stats - Total: 305	70	80	50	35	35	35
Max StatsHindering Nature	Lv. 100	250 - 344	148 - 233	94 - 179	67 - 152	67 - 152	67 - 152
Max StatsNeutral Nature	Lv. 100	250 - 344	165 - 259	105 - 199	75 - 169	75 - 169	75 - 169
Max StatsBeneficial Nature	Lv. 100	250 - 344	181 - 284	115 - 218	82 - 185	82 - 185	82 - 185
Base Stats - Total: 405	Base Stats - Total: 405	80	100	70	50	60	45
Max StatsHindering Nature	Lv. 100	270 - 364	184 - 269	130 - 215	94 - 179	112 - 197	85 - 170
Max StatsNeutral Nature	Lv. 100	270 - 364	205 - 299	145 - 239	105 - 199	125 - 219	95 - 189
Max StatsBeneficial Nature	Lv. 100	270 - 364	225 - 328	159 - 262	115 - 218	137 - 240	104 - 207
Base Stats - Total: 505	Base Stats - Total: 505	90	130	80	65	85	55
Max StatsHindering Nature	Lv. 100	290 - 384	238 - 323	148 - 233	121 - 206	157 - 242	103 - 188
Max StatsNeutral Nature	Lv. 100	290 - 384	265 - 359	165 - 259	135 - 229	175 - 269	115 - 209
Max StatsBeneficial Nature	Lv. 100	290 - 384	291 - 394	181 - 284	148 - 251	192 - 295	126 - 229
Base Stats - Total: 300	Base Stats - Total: 300	50	75	35	70	30	40
