0	1
Water	½×
Grass	¼×
Electric	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 4×.	Notes: In Generation I, the effectiveness of Bug-type moves is 4×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 4×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Steel  1×  Dragon  1×  Dark  1×
Normal	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Steel	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Fire  2×  Psychic  2×  Ice  2×	
Weak to:	Flying  2×  Fire  2×  Psychic  2×  Ice  2×
Flying	2×
Fire	2×
Psychic	2×
Ice	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×	
Resistant to:	Fighting  ½×  Water  ½×  Grass  ¼×  Electric  ½×  Fairy  ½×
Fighting	½×
Water	½×
Grass	¼×
Electric	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 4×.	Notes: In Generation I, the effectiveness of Bug-type moves is 4×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 4×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ghost	1×
Electric	1×
Psychic	1×
Dragon	1×
Dark	1×
Weak to:  Ground  2×  Rock  2×  Water  2×	
Weak to:	Ground  2×  Rock  2×  Water  2×
Ground	2×
Rock	2×
Water	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×	
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Bug	½×
Steel	½×
Fire	½×
Grass	½×
Ice	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Ice-type moves is 1×.	Notes: In Generation I, the effectiveness of Ice-type moves is 1×.
Notes:	
In Generation I, the effectiveness of Ice-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ghost  1×  Electric  1×  Psychic  1×  Dragon  1×  Dark  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ghost	1×
Electric	1×
Psychic	1×
Dragon	1×
Dark	1×
Weak to:  Ground  2×  Rock  2×  Water  2×	
Weak to:	Ground  2×  Rock  2×  Water  2×
Ground	2×
Rock	2×
Water	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×	
Resistant to:	Bug  ½×  Steel  ½×  Fire  ½×  Grass  ½×  Ice  ½×  Fairy  ½×
Bug	½×
Steel	½×
Fire	½×
Grass	½×
Ice	½×
Fairy	½×
Notes: In Generation I, the effectiveness of Ice-type moves is 1×.	Notes: In Generation I, the effectiveness of Ice-type moves is 1×.
Notes:	
In Generation I, the effectiveness of Ice-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ghost  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ghost  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×
Normal	1×
Flying	1×
Poison	1×
Ghost	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Weak to:  Rock  4×  Water  2×  Electric  2×	
Weak to:	Rock  4×  Water  2×  Electric  2×
Rock	4×
Water	2×
Electric	2×
Immune to:  Ground  0×	
Immune to:	Ground  0×
Ground	0×
Resistant to:  Fighting  ½×  Bug  ¼×  Steel  ½×  Fire  ½×  Grass  ¼×  Fairy  ½×	
Resistant to:	Fighting  ½×  Bug  ¼×  Steel  ½×  Fire  ½×  Grass  ¼×  Fairy  ½×
Fighting	½×
Bug	¼×
Steel	½×
Fire	½×
Grass	¼×
Fairy	½×
Notes: If Gravity is in effect, this Pokémon is given an Iron Ball (in Generation IV) or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 2×. In Generation V, if this Pokémon is given an Iron Ball, the effectiveness of Ground-type moves is 1×. In Generation I, the effectiveness of Ice-type moves is 2×.	Notes: If Gravity is in effect, this Pokémon is given an Iron Ball (in Generation IV) or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 2×. In Generation V, if this Pokémon is given an Iron Ball, the effectiveness of Ground-type moves is 1×. In Generation I, the effectiveness of Ice-type moves is 2×.
Notes:	
If Gravity is in effect, this Pokémon is given an Iron Ball (in Generation IV) or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 2×. In Generation V, if this Pokémon is given an Iron Ball, the effectiveness of Ground-type moves is 1×. In Generation I, the effectiveness of Ice-type moves is 2×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Ghost  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Ghost	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Grass  2×  Electric  2×	
Weak to:	Grass  2×  Electric  2×
Grass	2×
Electric	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×	
Resistant to:	Steel  ½×  Fire  ½×  Water  ½×  Ice  ½×
Steel	½×
Fire	½×
Water	½×
Ice	½×
	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Bug  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Poison  1×  Bug  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Poison	1×
Bug	1×
Ghost	1×
Steel	1×
Water	1×
Electric	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Flying  2×  Rock  2×  Fire  2×	
Weak to:	Flying  2×  Rock  2×  Fire  2×
Flying	2×
Rock	2×
Fire	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Ground  ½×  Grass  ½×	
Resistant to:	Fighting  ½×  Ground  ½×  Grass  ½×
Fighting	½×
Ground	½×
Grass	½×
Notes: In Generation I, the effectiveness of Poison-type moves is 2×.	Notes: In Generation I, the effectiveness of Poison-type moves is 2×.
Notes:	
In Generation I, the effectiveness of Poison-type moves is 2×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Bug  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Poison  1×  Bug  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Poison	1×
Bug	1×
Ghost	1×
Steel	1×
Water	1×
Electric	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Flying  2×  Rock  2×  Fire  2×	
Weak to:	Flying  2×  Rock  2×  Fire  2×
Flying	2×
Rock	2×
Fire	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ½×  Ground  ½×  Grass  ½×	
Resistant to:	Fighting  ½×  Ground  ½×  Grass  ½×
Fighting	½×
Ground	½×
Grass	½×
Notes: In Generation I, the effectiveness of Poison-type moves is 2×.	Notes: In Generation I, the effectiveness of Poison-type moves is 2×.
Notes:	
In Generation I, the effectiveness of Poison-type moves is 2×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Poison  1×  Ghost  1×  Steel  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Poison  1×  Ghost  1×  Steel  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Poison	1×
Ghost	1×
Steel	1×
Water	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Flying  2×  Rock  4×  Fire  2×  Electric  2×  Ice  2×	
Weak to:	Flying  2×  Rock  4×  Fire  2×  Electric  2×  Ice  2×
Flying	2×
Rock	4×
Fire	2×
Electric	2×
Ice	2×
Immune to:  Ground  0×	
Immune to:	Ground  0×
Ground	0×
Resistant to:  Fighting  ¼×  Bug  ½×  Grass  ¼×	
Resistant to:	Fighting  ¼×  Bug  ½×  Grass  ¼×
Fighting	¼×
Bug	½×
Grass	¼×
Notes: If Gravity is in effect, this Pokémon is given an Iron Ball (in Generation IV) or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is ½×. In Generation V, if this Pokémon is given an Iron Ball, the effectiveness of Ground-type moves is 1×. In Generation I, the effectiveness of Poison-type moves is 2×.	Notes: If Gravity is in effect, this Pokémon is given an Iron Ball (in Generation IV) or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is ½×. In Generation V, if this Pokémon is given an Iron Ball, the effectiveness of Ground-type moves is 1×. In Generation I, the effectiveness of Poison-type moves is 2×.
Notes:	
If Gravity is in effect, this Pokémon is given an Iron Ball (in Generation IV) or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is ½×. In Generation V, if this Pokémon is given an Iron Ball, the effectiveness of Ground-type moves is 1×. In Generation I, the effectiveness of Poison-type moves is 2×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×
Normal	1×
Ground	1×
Ghost	1×
Steel	1×
Water	1×
Electric	1×
Ice	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Rock  2×  Fire  2×  Psychic  2×	
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Flying	2×
Rock	2×
Fire	2×
Psychic	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×	
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Fighting	¼×
Poison	½×
Bug	½×
Grass	¼×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.	Notes: In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×
Normal	1×
Ground	1×
Ghost	1×
Steel	1×
Water	1×
Electric	1×
Ice	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Rock  2×  Fire  2×  Psychic  2×	
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Flying	2×
Rock	2×
Fire	2×
Psychic	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×	
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Fighting	¼×
Poison	½×
Bug	½×
Grass	¼×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.	Notes: In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×	
Damagednormally by:	Normal  1×  Ground  1×  Ghost  1×  Steel  1×  Water  1×  Electric  1×  Ice  1×  Dragon  1×  Dark  1×
Normal	1×
Ground	1×
Ghost	1×
Steel	1×
Water	1×
Electric	1×
Ice	1×
Dragon	1×
Dark	1×
Weak to:  Flying  2×  Rock  2×  Fire  2×  Psychic  2×	
Weak to:	Flying  2×  Rock  2×  Fire  2×  Psychic  2×
Flying	2×
Rock	2×
Fire	2×
Psychic	2×
Immune to:  None	
Immune to:	None
None	
Resistant to:  Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×	
Resistant to:	Fighting  ¼×  Poison  ½×  Bug  ½×  Grass  ¼×  Fairy  ½×
Fighting	¼×
Poison	½×
Bug	½×
Grass	¼×
Fairy	½×
Notes: In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.	Notes: In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.
Notes:	
In Generation I, the effectiveness of Bug-type moves is 2×. In Generation I, the effectiveness of Poison-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Steel	1×
Fire	1×
Water	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Rock  2×  Electric  2×  Ice  2×	
Weak to:	Rock  2×  Electric  2×  Ice  2×
Rock	2×
Electric	2×
Ice	2×
Immune to:  Ground  0×  Ghost  0×	
Immune to:	Ground  0×  Ghost  0×
Ground	0×
Ghost	0×
Resistant to:  Bug  ½×  Grass  ½×	
Resistant to:	Bug  ½×  Grass  ½×
Bug	½×
Grass	½×
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Steel	1×
Fire	1×
Water	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Rock  2×  Electric  2×  Ice  2×	
Weak to:	Rock  2×  Electric  2×  Ice  2×
Rock	2×
Electric	2×
Ice	2×
Immune to:  Ground  0×  Ghost  0×	
Immune to:	Ground  0×  Ghost  0×
Ground	0×
Ghost	0×
Resistant to:  Bug  ½×  Grass  ½×	
Resistant to:	Bug  ½×  Grass  ½×
Bug	½×
Grass	½×
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Steel	1×
Fire	1×
Water	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Rock  2×  Electric  2×  Ice  2×	
Weak to:	Rock  2×  Electric  2×  Ice  2×
Rock	2×
Electric	2×
Ice	2×
Immune to:  Ground  0×  Ghost  0×	
Immune to:	Ground  0×  Ghost  0×
Ground	0×
Ghost	0×
Resistant to:  Bug  ½×  Grass  ½×	
Resistant to:	Bug  ½×  Grass  ½×
Bug	½×
Grass	½×
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×. If Gravity is in effect, this Pokémon is given an Iron Ball or a Ring Target, or it is affected by Smack Down or Ingrain, the effectiveness of Ground-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Fighting  2×	
Weak to:	Fighting  2×
Fighting	2×
Immune to:  Ghost  0×	
Immune to:	Ghost  0×
Ghost	0×
Resistant to:  None	
Resistant to:	None
None	
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Flying  1×  Poison  1×  Ground  1×  Rock  1×  Bug  1×  Steel  1×  Fire  1×  Water  1×  Grass  1×  Electric  1×  Psychic  1×  Ice  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Flying	1×
Poison	1×
Ground	1×
Rock	1×
Bug	1×
Steel	1×
Fire	1×
Water	1×
Grass	1×
Electric	1×
Psychic	1×
Ice	1×
Dragon	1×
Dark	1×
Fairy	1×
Weak to:  Fighting  2×	
Weak to:	Fighting  2×
Fighting	2×
Immune to:  Ghost  0×	
Immune to:	Ghost  0×
Ghost	0×
Resistant to:  None	
Resistant to:	None
None	
Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	Notes: If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.
Notes:	
If this Pokémon is given a Ring Target, the effectiveness of Ghost-type moves is 1×.	
Under normal battle conditions in Generation VII, this Pokémon is:	
Under normal battle conditions in Generation VII, this Pokémon is:	
Damagednormally by:  Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×	
Damagednormally by:	Normal  1×  Fighting  1×  Flying  1×  Poison  1×  Steel  1×  Fire  1×  Water  1×  Psychic  1×  Dragon  1×  Dark  1×  Fairy  1×
Normal	1×
Fighting	1×
Flying	1×
Poison	1×
Steel	1×
Fire	1×
Water	1×
Psychic	1×
Dragon	1×
Dark	1×
Fairy	1×
