,First_pokemon,Second_pokemon,Winner
1023,386,342,386
1024,262,16,262
1025,721,382,382
1026,448,183,448
1027,198,347,198
1028,617,86,617
1029,541,138,541
1030,150,613,150
1031,622,419,419
1032,335,343,335
1033,127,141,127
1034,675,229,229
1035,260,308,308
1036,259,264,264
1039,592,50,50
1040,1,497,497
1041,485,691,485
1042,120,311,311
1043,59,471,59
1044,160,503,160
1045,144,19,144
1046,283,101,101
1047,98,197,197
1049,4,108,4
1050,158,516,516
1051,272,375,272
1052,679,620,620
1053,261,38,38
1054,445,351,445
1055,25,630,25
1056,595,366,595
1057,434,616,434
1058,339,546,546
1059,665,655,655
1060,248,395,248
1061,177,16,177
1062,56,516,516
1063,336,401,336
1064,314,298,314
1066,627,127,127
1067,384,76,384
1071,109,670,670
1073,300,275,275
1074,302,370,370
1075,442,580,580
1076,692,441,441
1077,632,505,632
1078,183,213,183
1079,12,49,49
1080,405,537,537
1081,46,5,5
1083,435,405,435
1084,93,466,466
1086,608,121,121
1088,712,143,143
1090,492,701,701
1091,335,314,335
1092,214,369,214
1095,521,275,521
1097,156,409,409
1099,594,31,31
1100,618,652,652
1102,407,501,407
1103,314,158,314
1104,474,639,639
1105,473,74,473
1106,333,225,225
1107,271,266,271
1109,534,365,365
1110,490,539,490
1112,641,384,641
1114,75,256,256
1117,121,461,461
1118,342,454,454
1119,193,106,193
1120,199,540,540
1121,452,600,600
1122,144,72,144
1124,450,628,628
1125,136,97,97
1126,609,649,649
1127,577,256,256
1129,195,445,445
1130,689,361,689
1131,505,555,555
1132,648,272,648
1134,711,202,711
1135,399,693,693
1136,292,94,94
1138,2,642,642
1140,536,620,620
1141,668,639,639
1142,281,147,147
1143,576,285,576
1144,57,385,385
1145,614,322,614
1146,408,49,49
1147,356,393,393
1148,290,106,106
1149,332,278,332
1151,461,149,461
1152,179,692,692
1153,7,145,145
1154,683,388,388
1156,630,195,630
1157,220,35,220
1158,120,209,209
1159,234,144,144
1160,613,374,613
1161,279,509,509
1163,507,330,330
1164,488,613,488
1165,169,47,169
1166,44,414,414
1167,596,209,596
1170,498,385,385
1171,411,246,246
1172,65,181,65
1173,592,666,666
1174,95,175,95
1175,438,343,343
1176,485,569,485
1177,688,64,64
1180,393,471,471
1181,718,332,718
1182,98,646,646
1183,235,274,235
1184,62,559,62
1185,226,339,226
1186,721,161,721
1187,448,124,124
1188,63,335,335
1190,23,201,23
1191,633,327,327
1194,424,410,424
1195,334,244,244
1198,394,383,383
1199,334,643,643
1200,306,205,306
1201,646,159,646
1202,657,704,657
1204,429,80,429
1205,548,497,497
1207,689,693,689
1208,616,339,339
1210,230,630,230
1211,355,186,186
1212,714,700,700
1213,573,635,573
1214,452,546,452
1215,391,4,391
1216,313,403,313
1218,641,91,641
1221,332,694,694
1222,530,130,530
1224,265,173,265
1225,480,46,480
1227,503,186,186
1228,580,359,359
1229,152,470,470
1230,117,321,117
1231,587,406,587
1232,160,268,160
1233,589,288,589
1234,680,686,686
1235,146,373,373
1236,675,476,675
1237,58,141,141
1239,702,644,702
1240,5,380,380
1241,521,373,373
1242,84,304,304
1243,246,280,246
1245,314,143,143
1247,75,88,75
1248,284,661,661
1249,83,320,320
1250,621,316,621
1251,153,367,153
1252,565,550,550
1254,147,189,189
1255,402,188,188
1256,115,96,115
1257,472,296,472
1258,540,637,637
1259,260,209,260
1260,270,281,281
1261,440,448,448
1262,512,245,512
1263,22,489,22
1265,709,264,264
1268,643,208,643
1270,420,492,492
1272,523,553,553
1273,441,484,484
1274,554,28,28
1275,592,324,324
1276,688,397,397
1277,625,370,625
1278,585,678,678
1279,487,166,487
1280,500,539,539
1282,403,632,632
1283,450,407,407
1284,617,284,617
1285,585,507,585
1286,580,543,543
1287,525,686,686
1288,365,497,497
1289,643,706,643
1292,200,424,424
1293,621,147,147
1294,534,619,619
1295,433,520,520
1296,712,164,164
1299,476,2,2
1301,200,457,457
1302,583,379,583
1303,373,101,101
1304,123,516,123
1305,569,555,555
1306,490,146,490
1307,385,325,385
1308,688,366,688
1309,565,425,565
1310,367,315,315
1311,98,590,98
1312,443,200,200
1313,192,627,627
1315,666,657,657
1316,499,255,499
1317,44,422,44
1319,38,11,38
1320,442,374,442
1321,596,689,596
1324,644,689,644
1327,661,479,479
1328,174,29,29
1329,391,546,391
1330,607,278,278
1331,314,140,314
1332,143,714,143
1333,505,32,505
1334,314,303,314
1335,570,454,454
1336,120,521,521
1338,587,279,587
1341,153,255,153
1343,12,33,12
1344,620,307,620
1346,233,403,233
1347,12,321,12
1349,705,214,214
1352,398,589,398
1353,694,516,516
1354,407,215,215
1355,14,564,564
1356,665,364,364
1357,573,79,573
1358,557,89,557
1359,202,467,467
1360,203,598,598
1361,164,528,528
1362,436,548,548
1363,301,239,239
1364,327,473,473
1365,367,615,615
1366,575,104,575
1368,461,710,461
1369,351,602,351
1370,203,67,203
1371,623,128,128
1372,122,159,122
1373,121,687,121
1374,275,311,311
1376,360,507,507
1377,122,179,122
1378,398,261,398
1379,459,126,126
1380,504,641,641
1381,200,93,93
1382,693,45,693
1383,78,247,78
1384,332,325,325
1385,363,480,480
1386,511,660,660
1387,514,201,514
1388,421,30,421
1390,402,223,223
1391,137,42,42
1392,672,112,672
1393,541,22,22
1394,643,280,643
1395,460,605,460
1396,285,421,421
1397,182,213,182
1398,87,400,400
1399,268,620,620
1400,262,301,301
1402,432,490,432
1404,224,344,344
1405,186,451,186
1406,306,52,306
1407,48,225,225
1408,652,669,652
1409,527,51,51
1411,409,504,409
1412,474,350,474
1413,380,696,380
1415,608,9,9
1417,685,509,685
1418,409,469,469
1419,46,505,505
1420,671,74,671
1421,439,264,264
1422,394,393,394
1423,231,155,155
1425,674,226,226
1426,166,646,646
1427,638,418,638
1429,298,199,199
1430,376,518,376
1432,513,52,52
1433,603,92,603
1434,542,382,542
1435,32,372,372
1439,284,447,447
1440,127,207,207
1441,28,474,474
1442,224,659,659
1443,418,342,418
1444,706,200,200
1445,654,657,657
1446,1,695,695
1447,606,500,500
1448,329,429,429
1449,546,313,313
1450,539,614,539
1451,383,667,383
1452,414,154,154
1453,401,341,341
1455,403,465,465
1457,554,530,530
1458,231,481,481
1461,419,455,419
1462,523,92,523
1464,364,198,198
1465,600,106,106
1466,50,594,594
1467,499,312,499
1470,703,632,632
1471,587,13,587
1473,200,524,200
1474,677,245,245
1475,708,419,419
1477,274,299,274
1478,651,607,651
1479,649,613,649
1480,484,157,157
1481,309,443,309
1483,497,718,497
1484,258,713,258
1485,466,705,466
1486,385,359,385
1487,665,20,20
1488,105,211,211
1490,699,494,494
1491,468,338,468
1492,519,617,617
1493,657,42,657
1494,37,24,24
1495,10,551,551
1496,18,2,18
1497,691,95,95
1498,353,499,499
1500,608,159,159
1502,200,381,381
1504,362,282,282
1505,209,116,116
1506,411,540,540
1507,336,57,57
1509,16,466,466
1510,594,349,594
1511,201,230,230
1512,643,164,643
1513,640,410,640
1514,221,497,497
1515,56,142,142
1516,77,70,77
1517,560,672,560
1518,145,505,145
1519,145,589,589
1520,153,592,592
1521,475,218,475
1522,32,272,272
1523,195,13,195
1524,231,204,231
1526,104,538,538
1528,707,450,707
1529,124,215,215
1530,157,706,157
1531,11,233,233
1532,99,517,99
1533,553,321,553
1534,2,536,536
1535,131,413,131
1536,564,280,564
1537,291,130,291
1540,612,157,157
1541,23,104,23
1542,167,357,357
1544,159,559,159
1545,357,94,94
1546,652,381,381
1547,220,176,176
1548,114,660,660
1550,59,159,59
1551,379,644,644
1552,86,574,574
1553,597,698,597
1555,104,483,483
1557,18,573,573
1558,139,116,116
1559,38,280,38
1561,298,357,357
1562,275,299,275
1563,167,116,116
1564,709,73,73
1565,235,120,120
1566,180,646,646
1567,656,660,660
1568,717,271,717
1569,437,621,621
1570,378,417,417
1571,160,62,160
1572,616,293,293
1573,69,405,405
1575,562,502,502
1576,102,178,178
1577,200,118,200
1579,267,594,594
1580,577,548,548
1581,642,669,642
1584,266,177,177
1585,487,164,164
1586,447,378,447
1588,469,574,469
1589,100,355,100
1590,69,198,198
1591,223,524,223
1592,97,25,25
1593,326,79,326
1594,140,149,149
1595,647,190,647
1596,368,457,457
1597,207,634,207
1598,352,49,49
1599,48,564,48
1600,337,470,470
1601,388,438,388
1602,404,546,546
1603,454,265,454
1604,549,656,549
1605,49,83,49
1608,436,553,553
1609,205,246,246
1610,482,448,482
1611,426,262,426
1612,11,286,286
1613,573,213,573
1616,445,385,445
1617,453,89,89
1618,586,720,586
1619,696,712,696
1621,596,246,246
1622,504,313,313
1623,626,565,626
1624,224,45,45
1625,2,500,500
1626,401,161,401
1627,325,386,386
1628,521,257,521
1629,463,80,463
1630,135,256,135
1631,342,615,615
1632,149,472,472
1634,669,448,448
1635,147,183,147
1636,580,504,580
1637,113,510,510
1638,450,337,337
1639,76,375,375
1640,268,113,268
1641,592,413,592
1642,407,281,407
1643,156,238,156
1644,25,488,25
1645,296,407,407
1646,52,124,124
1648,191,44,44
1649,397,561,561
1651,504,714,714
1652,544,648,648
1654,408,80,408
1655,260,281,260
1657,668,661,668
1658,696,156,156
1659,619,435,435
1660,615,670,615
1661,266,540,540
1662,596,75,75
1663,599,260,260
1664,707,557,707
1666,641,557,641
1667,439,625,625
1668,21,300,21
1669,619,584,584
1670,639,127,639
1671,131,36,36
1672,202,219,202
1673,289,611,289
1674,250,212,250
1675,178,194,178
1676,279,241,241
1680,307,674,307
1681,369,214,214
1682,319,597,319
1683,65,12,65
1684,721,336,721
1685,287,429,429
1686,56,422,56
1687,689,138,689
1689,715,116,715
1690,708,574,574
1691,187,610,610
1693,508,414,508
1694,294,427,427
1695,98,702,702
1696,383,84,383
1698,136,554,136
1699,220,309,309
1702,465,362,362
1703,610,697,697
1704,559,407,407
1705,508,657,657
1706,110,454,454
1707,326,643,643
1708,484,464,484
1709,80,324,80
1710,673,138,673
1711,362,286,362
1712,465,618,465
1713,211,37,211
1714,521,90,521
1715,265,490,490
1716,366,53,53
1717,653,677,677
1719,264,482,482
1720,409,626,409
1721,223,670,223
1722,319,191,319
1723,632,126,632
1725,485,620,620
1726,697,601,601
1727,267,223,223
1728,517,676,676
1729,345,22,22
1730,45,561,561
1731,604,94,94
1732,560,23,560
1733,205,334,334
1734,398,56,398
1735,517,673,673
1737,63,457,457
1738,273,23,23
1739,505,286,505
1740,299,378,378
1741,693,452,452
1743,530,236,530
1744,198,695,695
1745,651,580,651
1747,74,247,247
1748,396,500,500
1750,104,14,14
1751,565,552,552
1752,361,356,361
1753,30,399,30
1754,711,353,711
1755,25,5,25
1757,411,48,48
1758,683,23,23
1759,389,452,452
1760,689,252,252
1761,335,233,335
1762,645,456,645
1763,121,313,121
1765,391,212,391
1767,308,388,308
1768,411,70,70
1769,641,230,641
1770,316,426,426
1771,510,125,510
1772,171,486,486
1773,99,91,99
1774,344,470,470
1776,394,528,528
1778,688,441,441
1779,685,658,658
1780,350,458,350
1781,237,401,237
1782,366,44,44
1784,380,378,380
1785,121,205,121
1786,471,380,380
1789,150,472,150
1790,497,9,497
1791,148,28,148
1793,633,688,688
1794,121,630,121
1795,719,215,215
1796,680,406,680
1797,65,679,679
1798,714,402,402
1799,473,719,473
1800,563,124,124
1801,96,425,425
1802,428,695,695
1803,290,12,12
1804,305,293,305
1805,348,138,348
1806,17,465,17
1810,610,290,610
1811,114,618,114
1812,275,561,561
1813,696,31,31
1814,718,573,573
1816,317,417,417
1817,316,596,596
1819,174,334,334
1820,512,138,512
1821,528,215,215
1823,34,610,34
1825,668,431,668
1826,597,648,648
1827,146,344,146
1828,555,618,555
1829,695,215,215
1830,25,272,25
1831,629,396,396
1832,341,102,102
1833,583,653,653
1835,398,153,398
1836,235,694,235
1837,175,374,374
1838,152,419,419
1839,576,667,667
1840,24,123,123
1842,50,107,50
1843,112,362,362
1844,494,576,494
1845,684,48,684
1846,36,443,36
1848,130,448,448
1849,385,600,385
1850,128,354,354
1852,163,39,163
1853,179,22,22
1855,321,470,470
1856,450,312,450
1857,661,309,309
1858,367,91,91
1860,437,227,227
1861,570,38,38
1862,146,441,441
1863,264,571,571
1864,681,359,359
1865,629,209,629
1867,439,76,76
1868,400,662,662
1869,35,68,68
1870,521,113,521
1872,161,133,133
1873,408,421,421
1874,204,8,8
1875,426,387,426
1876,298,543,543
1877,330,35,330
1880,446,697,697
1881,465,279,279
1882,504,525,525
1883,353,570,570
1886,701,365,701
1888,605,336,336
1889,1,141,141
1891,329,624,329
1892,12,402,12
1893,344,310,310
1894,180,650,180
1896,663,546,663
1897,263,637,637
1898,467,9,467
1899,30,368,30
1900,51,338,51
1902,34,612,612
1903,334,18,18
1904,450,339,339
1905,88,189,88
1906,442,181,181
1907,468,169,169
1908,62,237,237
1909,661,130,130
1910,143,530,530
1911,587,529,529
1912,203,392,392
1913,85,35,85
1914,289,374,289
1915,424,434,424
1917,669,565,669
1918,134,327,134
1919,74,551,551
1920,283,641,641
1921,581,505,581
1922,432,553,432
1923,9,141,141
1924,332,654,654
1925,230,611,230
1926,340,616,340
1927,282,32,282
1928,173,176,176
1929,677,464,464
1930,465,291,291
1931,397,188,188
1932,472,443,472
1934,208,415,415
1935,307,190,190
1938,471,371,471
1939,474,581,581
1940,407,69,407
1941,196,23,196
1942,460,189,189
1943,307,276,276
1944,208,102,102
1945,436,185,185
1946,139,448,448
1947,666,204,666
1948,311,369,311
1949,630,114,630
1950,25,139,25
1951,307,370,370
1952,481,49,49
1953,702,675,702
1955,314,417,417
1956,354,645,645
1957,316,185,316
1958,702,708,702
1959,538,431,538
1960,455,187,187
1961,421,359,421
1962,310,623,623
1963,35,292,292
1965,409,153,153
1966,651,282,282
1967,330,471,330
1968,34,587,587
1969,51,368,51
1970,66,703,703
1971,229,514,514
1972,529,43,529
1973,52,618,618
1974,433,423,433
1976,363,447,447
1977,532,620,620
1978,628,242,628
1979,58,523,523
1980,439,195,195
1981,100,614,614
1984,161,292,292
1985,224,384,384
1986,28,512,512
1988,196,84,196
1990,128,417,128
1991,369,309,309
1992,242,499,499
1993,148,700,700
1994,632,327,632
1996,569,135,135
1997,527,290,527
1999,56,684,56
2000,95,672,95
2001,280,708,280
2002,76,322,76
2003,311,507,311
2004,285,585,585
2005,122,69,69
2006,288,405,288
2007,187,149,149
2008,329,400,400
2009,688,100,100
2010,566,324,566
2012,346,185,346
2013,54,249,249
2014,501,597,597
2015,345,298,345
2017,662,445,662
2018,698,239,239
2019,445,351,445
2020,179,650,650
2021,628,62,628
2024,274,104,274
2026,633,434,434
2028,590,515,590
