Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsHindering Nature	Lv. 100	270 - 364	220 - 305	238 - 323	103 - 188	121 - 206	85 - 170
Max StatsHindering Nature	Lv. 100	210 - 304	157 - 242	103 - 188	121 - 206	121 - 206	166 - 251
Max StatsHindering Nature	Lv. 100	240 - 334	184 - 269	130 - 215	148 - 233	148 - 233	193 - 278
Max StatsHindering Nature	Lv. 100	290 - 384	121 - 206	121 - 206	76 - 161	76 - 161	31 - 116
Max StatsHindering Nature	Lv. 100	300 - 394	139 - 224	202 - 287	184 - 269	148 - 233	58 - 143
Max StatsHindering Nature	Lv. 100	160 - 254	67 - 152	130 - 215	175 - 260	103 - 188	85 - 170
Max StatsHindering Nature	Lv. 100	210 - 304	112 - 197	175 - 260	220 - 305	130 - 215	130 - 215
Max StatsHindering Nature	Lv. 100	214 - 308	166 - 251	103 - 188	108 - 193	116 - 200	112 - 197
Max StatsHindering Nature	Lv. 100	180 - 274	157 - 242	85 - 170	67 - 152	67 - 152	139 - 224
Max StatsHindering Nature	Lv. 100	230 - 324	202 - 287	130 - 215	112 - 197	112 - 197	202 - 287
Max StatsHindering Nature	Lv. 100	240 - 334	85 - 170	103 - 188	85 - 170	130 - 215	85 - 170
Max StatsHindering Nature	Lv. 100	290 - 384	130 - 215	148 - 233	130 - 215	175 - 260	130 - 215
Max StatsHindering Nature	Lv. 100	270 - 364	148 - 233	94 - 179	76 - 161	94 - 179	49 - 134
Max StatsHindering Nature	Lv. 100	320 - 414	193 - 278	139 - 224	121 - 206	184 - 269	94 - 179
Max StatsHindering Nature	Lv. 100	170 - 264	121 - 206	184 - 269	85 - 170	49 - 134	76 - 161
Max StatsHindering Nature	Lv. 100	210 - 304	175 - 260	328 - 413	157 - 242	85 - 170	130 - 215
Max StatsHindering Nature	Lv. 100	170 - 264	67 - 152	58 - 143	184 - 269	67 - 152	148 - 233
Max StatsHindering Nature	Lv. 100	200 - 294	94 - 179	85 - 170	211 - 296	103 - 188	175 - 260
Max StatsHindering Nature	Lv. 100	230 - 324	121 - 206	112 - 197	238 - 323	139 - 224	202 - 287
Max StatsHindering Nature	Lv. 100	180 - 274	85 - 170	292 - 377	58 - 143	85 - 170	130 - 215
Max StatsHindering Nature	Lv. 100	230 - 324	90 - 175	85 - 170	81 - 166	166 - 251	80 - 164
Max StatsHindering Nature	Lv. 100	280 - 374	135 - 220	130 - 215	135 - 220	211 - 296	125 - 209
Max StatsHindering Nature	Lv. 100	170 - 264	193 - 278	166 - 251	49 - 134	49 - 134	94 - 179
Max StatsHindering Nature	Lv. 100	220 - 314	238 - 323	211 - 296	94 - 179	94 - 179	139 - 224
Max StatsHindering Nature	Lv. 100	190 - 284	58 - 143	94 - 179	103 - 188	103 - 188	184 - 269
Max StatsHindering Nature	Lv. 100	230 - 324	94 - 179	130 - 215	148 - 233	148 - 233	274 - 359
Max StatsHindering Nature	Lv. 100	230 - 324	76 - 161	148 - 233	112 - 197	85 - 170	76 - 161
Max StatsHindering Nature	Lv. 100	300 - 394	175 - 260	157 - 242	229 - 314	139 - 224	103 - 188
Max StatsHindering Nature	Lv. 100	210 - 304	94 - 179	175 - 260	76 - 161	94 - 179	67 - 152
Max StatsHindering Nature	Lv. 100	230 - 324	148 - 233	202 - 287	94 - 179	148 - 233	85 - 170
Max StatsHindering Nature	Lv. 100	210 - 304	220 - 305	99 - 184	67 - 152	202 - 287	161 - 245
Max StatsHindering Nature	Lv. 100	210 - 304	193 - 278	146 - 231	67 - 152	202 - 287	141 - 225
Max StatsHindering Nature	Lv. 100	290 - 384	103 - 188	139 - 224	112 - 197	139 - 224	58 - 143
Max StatsHindering Nature	Lv. 100	190 - 284	121 - 206	175 - 260	112 - 197	85 - 170	67 - 152
Max StatsHindering Nature	Lv. 100	240 - 334	166 - 251	220 - 305	157 - 242	130 - 215	112 - 197
Max StatsHindering Nature	Lv. 100	270 - 364	157 - 242	175 - 260	58 - 143	58 - 143	49 - 134
Max StatsHindering Nature	Lv. 100	320 - 414	238 - 323	220 - 305	85 - 170	85 - 170	76 - 161
Max StatsHindering Nature	Lv. 100	610 - 704	13 - 98	13 - 98	67 - 152	193 - 278	94 - 179
Max StatsHindering Nature	Lv. 100	240 - 334	103 - 188	211 - 296	184 - 269	76 - 161	112 - 197
Max StatsHindering Nature	Lv. 100	320 - 414	175 - 260	148 - 233	76 - 161	148 - 233	166 - 251
Max StatsHindering Nature	Lv. 100	170 - 264	76 - 161	130 - 215	130 - 215	49 - 134	112 - 197
Max StatsHindering Nature	Lv. 100	220 - 314	121 - 206	175 - 260	175 - 260	85 - 170	157 - 242
Max StatsHindering Nature	Lv. 100	200 - 294	125 - 209	112 - 197	67 - 152	94 - 179	117 - 202
Max StatsHindering Nature	Lv. 100	270 - 364	170 - 254	121 - 206	121 - 206	148 - 233	126 - 211
Max StatsHindering Nature	Lv. 100	170 - 264	85 - 170	103 - 188	130 - 215	103 - 188	157 - 242
Max StatsHindering Nature	Lv. 100	230 - 324	139 - 224	157 - 242	184 - 269	157 - 242	211 - 296
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	121 - 206	184 - 269	220 - 305	166 - 251
Max StatsHindering Nature	Lv. 100	250 - 344	202 - 287	148 - 233	103 - 188	148 - 233	193 - 278
Max StatsHindering Nature	Lv. 100	240 - 334	94 - 179	67 - 152	211 - 296	175 - 260	175 - 260
Max StatsHindering Nature	Lv. 100	240 - 334	153 - 238	107 - 191	175 - 260	157 - 242	193 - 278
Max StatsHindering Nature	Lv. 100	240 - 334	175 - 260	107 - 191	184 - 269	157 - 242	171 - 256
Max StatsHindering Nature	Lv. 100	240 - 334	229 - 314	184 - 269	103 - 188	130 - 215	157 - 242
Max StatsHindering Nature	Lv. 100	260 - 354	184 - 269	175 - 260	76 - 161	130 - 215	202 - 287
Max StatsHindering Nature	Lv. 100	150 - 244	22 - 107	103 - 188	31 - 116	40 - 125	148 - 233
Max StatsHindering Nature	Lv. 100	300 - 394	229 - 314	146 - 231	112 - 197	184 - 269	150 - 234
Max StatsHindering Nature	Lv. 100	370 - 464	157 - 242	148 - 233	157 - 242	175 - 260	112 - 197
Max StatsHindering Nature	Lv. 100	206 - 300	90 - 175	90 - 175	90 - 175	90 - 175	90 - 175
Max StatsHindering Nature	Lv. 100	220 - 314	103 - 188	94 - 179	85 - 170	121 - 206	103 - 188
Max StatsHindering Nature	Lv. 100	370 - 464	121 - 206	112 - 197	202 - 287	175 - 260	121 - 206
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	112 - 197	202 - 287	175 - 260	238 - 323
Max StatsHindering Nature	Lv. 100	240 - 334	238 - 323	112 - 197	175 - 260	202 - 287	121 - 206
Max StatsHindering Nature	Lv. 100	240 - 334	112 - 197	130 - 215	157 - 242	139 - 224	76 - 161
Max StatsHindering Nature	Lv. 100	180 - 274	76 - 161	184 - 269	166 - 251	103 - 188	67 - 152
Max StatsHindering Nature	Lv. 100	250 - 344	112 - 197	229 - 314	211 - 296	130 - 215	103 - 188
Max StatsHindering Nature	Lv. 100	170 - 264	148 - 233	166 - 251	103 - 188	85 - 170	103 - 188
Max StatsHindering Nature	Lv. 100	230 - 324	211 - 296	193 - 278	121 - 206	130 - 215	148 - 233
Max StatsHindering Nature	Lv. 100	270 - 364	193 - 278	121 - 206	112 - 197	139 - 224	238 - 323
Max StatsHindering Nature	Lv. 100	430 - 524	202 - 287	121 - 206	121 - 206	202 - 287	58 - 143
Max StatsHindering Nature	Lv. 100	290 - 384	157 - 242	184 - 269	175 - 260	229 - 314	157 - 242
Max StatsHindering Nature	Lv. 100	290 - 384	166 - 251	157 - 242	229 - 314	166 - 251	184 - 269
Max StatsHindering Nature	Lv. 100	290 - 384	184 - 269	166 - 251	229 - 314	157 - 242	166 - 251
Max StatsHindering Nature	Lv. 100	192 - 286	119 - 204	85 - 170	94 - 179	94 - 179	94 - 179
Max StatsHindering Nature	Lv. 100	232 - 326	155 - 240	121 - 206	130 - 215	130 - 215	130 - 215
Max StatsHindering Nature	Lv. 100	292 - 386	245 - 330	175 - 260	184 - 269	184 - 269	148 - 233
Max StatsHindering Nature	Lv. 100	322 - 416	202 - 287	166 - 251	281 - 366	166 - 251	238 - 323
Max StatsHindering Nature	Lv. 100	310 - 404	184 - 269	184 - 269	184 - 269	184 - 269	184 - 269
Max StatsHindering Nature	Lv. 100	200 - 294	92 - 177	121 - 206	92 - 177	121 - 206	85 - 170
Max StatsHindering Nature	Lv. 100	230 - 324	116 - 200	148 - 233	117 - 202	148 - 233	112 - 197
Max StatsHindering Nature	Lv. 100	270 - 364	152 - 236	184 - 269	153 - 238	184 - 269	148 - 233
Max StatsHindering Nature	Lv. 100	188 - 282	98 - 182	81 - 166	112 - 197	94 - 179	121 - 206
Max StatsHindering Nature	Lv. 100	226 - 320	119 - 204	108 - 193	148 - 233	121 - 206	148 - 233
Max StatsHindering Nature	Lv. 100	266 - 360	155 - 240	144 - 229	200 - 285	157 - 242	184 - 269
Max StatsHindering Nature	Lv. 100	210 - 304	121 - 206	119 - 204	83 - 168	90 - 175	81 - 166
Max StatsHindering Nature	Lv. 100	240 - 334	148 - 233	148 - 233	110 - 195	117 - 202	108 - 193
Max StatsHindering Nature	Lv. 100	280 - 374	193 - 278	184 - 269	146 - 231	153 - 238	144 - 229
Max StatsHindering Nature	Lv. 100	180 - 274	87 - 171	65 - 150	67 - 152	85 - 170	40 - 125
Max StatsHindering Nature	Lv. 100	280 - 374	141 - 225	119 - 204	85 - 170	103 - 188	166 - 251
Max StatsHindering Nature	Lv. 100	230 - 324	58 - 143	58 - 143	69 - 153	105 - 189	94 - 179
Max StatsHindering Nature	Lv. 100	310 - 404	94 - 179	94 - 179	159 - 243	177 - 261	130 - 215
Max StatsHindering Nature	Lv. 100	190 - 284	40 - 125	58 - 143	76 - 161	148 - 233	103 - 188
Max StatsHindering Nature	Lv. 100	220 - 314	67 - 152	94 - 179	103 - 188	202 - 287	157 - 242
Max StatsHindering Nature	Lv. 100	190 - 284	112 - 197	76 - 161	76 - 161	76 - 161	58 - 143
Max StatsHindering Nature	Lv. 100	250 - 344	166 - 251	130 - 215	112 - 197	130 - 215	76 - 161
Max StatsHindering Nature	Lv. 100	280 - 374	166 - 251	148 - 233	130 - 215	148 - 233	238 - 323
Max StatsHindering Nature	Lv. 100	260 - 354	72 - 157	72 - 157	105 - 189	105 - 189	125 - 209
Max StatsHindering Nature	Lv. 100	360 - 454	108 - 193	108 - 193	141 - 225	141 - 225	125 - 209
Max StatsHindering Nature	Lv. 100	150 - 244	76 - 161	31 - 116	67 - 152	67 - 152	112 - 197
Max StatsHindering Nature	Lv. 100	210 - 304	49 - 134	54 - 139	85 - 170	103 - 188	31 - 116
Max StatsHindering Nature	Lv. 100	290 - 384	58 - 143	31 - 116	76 - 161	40 - 125	31 - 116
Max StatsHindering Nature	Lv. 100	180 - 274	40 - 125	121 - 206	76 - 161	121 - 206	40 - 125
Max StatsHindering Nature	Lv. 100	220 - 314	76 - 161	157 - 242	148 - 233	193 - 278	76 - 161
Max StatsHindering Nature	Lv. 100	190 - 284	94 - 179	85 - 170	130 - 215	85 - 170	130 - 215
Max StatsHindering Nature	Lv. 100	240 - 334	139 - 224	130 - 215	175 - 260	130 - 215	175 - 260
Max StatsHindering Nature	Lv. 100	220 - 314	76 - 161	76 - 161	121 - 206	85 - 170	67 - 152
Max StatsHindering Nature	Lv. 100	250 - 344	103 - 188	103 - 188	148 - 233	112 - 197	85 - 170
Max StatsHindering Nature	Lv. 100	290 - 384	139 - 224	157 - 242	211 - 296	166 - 251	103 - 188
Max StatsHindering Nature	Lv. 100	260 - 354	148 - 233	175 - 260	166 - 251	184 - 269	94 - 179
Max StatsHindering Nature	Lv. 100	250 - 344	40 - 125	94 - 179	40 - 125	94 - 179	76 - 161
Max StatsHindering Nature	Lv. 100	310 - 404	94 - 179	148 - 233	112 - 197	148 - 233	94 - 179
Max StatsHindering Nature	Lv. 100	250 - 344	184 - 269	211 - 296	58 - 143	121 - 206	58 - 143
Max StatsHindering Nature	Lv. 100	290 - 384	139 - 224	139 - 224	166 - 251	184 - 269	130 - 215
Max StatsHindering Nature	Lv. 100	180 - 274	67 - 152	76 - 161	67 - 152	103 - 188	94 - 179
Max StatsHindering Nature	Lv. 100	220 - 314	85 - 170	94 - 179	85 - 170	121 - 206	148 - 233
Max StatsHindering Nature	Lv. 100	260 - 354	103 - 188	130 - 215	103 - 188	175 - 260	202 - 287
Max StatsHindering Nature	Lv. 100	220 - 314	130 - 215	103 - 188	76 - 161	103 - 188	157 - 242
Max StatsHindering Nature	Lv. 100	170 - 264	58 - 143	58 - 143	58 - 143	58 - 143	58 - 143
Max StatsHindering Nature	Lv. 100	260 - 354	139 - 224	103 - 188	193 - 278	157 - 242	58 - 143
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	85 - 170	139 - 224	85 - 170	175 - 260
Max StatsHindering Nature	Lv. 100	220 - 314	85 - 170	85 - 170	49 - 134	49 - 134	31 - 116
Max StatsHindering Nature	Lv. 100	300 - 394	157 - 242	157 - 242	121 - 206	121 - 206	67 - 152
Max StatsHindering Nature	Lv. 100	240 - 334	121 - 206	112 - 197	238 - 323	175 - 260	202 - 287
Max StatsHindering Nature	Lv. 100	300 - 394	121 - 206	202 - 287	112 - 197	238 - 323	121 - 206
Max StatsHindering Nature	Lv. 100	230 - 324	157 - 242	80 - 164	157 - 242	80 - 164	168 - 252
Max StatsHindering Nature	Lv. 100	300 - 394	139 - 224	148 - 233	184 - 269	202 - 287	58 - 143
Max StatsHindering Nature	Lv. 100	230 - 324	112 - 197	112 - 197	157 - 242	157 - 242	157 - 242
Max StatsHindering Nature	Lv. 100	206 - 300	134 - 218	90 - 175	134 - 218	90 - 175	90 - 175
Max StatsHindering Nature	Lv. 100	490 - 584	63 - 148	108 - 193	63 - 148	108 - 193	63 - 148
Max StatsHindering Nature	Lv. 100	250 - 344	148 - 233	121 - 206	166 - 251	121 - 206	157 - 242
Max StatsHindering Nature	Lv. 100	210 - 304	121 - 206	166 - 251	67 - 152	67 - 152	31 - 116
Max StatsHindering Nature	Lv. 100	260 - 354	166 - 251	256 - 341	112 - 197	112 - 197	76 - 161
Max StatsHindering Nature	Lv. 100	310 - 404	130 - 215	130 - 215	121 - 206	121 - 206	85 - 170
Max StatsHindering Nature	Lv. 100	240 - 334	139 - 224	193 - 278	67 - 152	121 - 206	157 - 242
Max StatsHindering Nature	Lv. 100	260 - 354	157 - 242	364 - 449	103 - 188	121 - 206	58 - 143
Max StatsHindering Nature	Lv. 100	230 - 324	148 - 233	94 - 179	76 - 161	76 - 161	58 - 143
Max StatsHindering Nature	Lv. 100	290 - 384	220 - 305	139 - 224	112 - 197	112 - 197	85 - 170
Max StatsHindering Nature	Lv. 100	240 - 334	175 - 260	157 - 242	103 - 188	103 - 188	157 - 242
Max StatsHindering Nature	Lv. 100	250 - 344	238 - 323	184 - 269	103 - 188	148 - 233	121 - 206
Max StatsHindering Nature	Lv. 100	150 - 244	22 - 107	418 - 503	22 - 107	418 - 503	13 - 98
Max StatsHindering Nature	Lv. 100	270 - 364	229 - 314	139 - 224	76 - 161	175 - 260	157 - 242
Max StatsHindering Nature	Lv. 100	220 - 314	175 - 260	103 - 188	67 - 152	139 - 224	211 - 296
Max StatsHindering Nature	Lv. 100	230 - 324	148 - 233	94 - 179	94 - 179	94 - 179	76 - 161
Max StatsHindering Nature	Lv. 100	290 - 384	238 - 323	139 - 224	139 - 224	139 - 224	103 - 188
Max StatsHindering Nature	Lv. 100	190 - 284	76 - 161	76 - 161	130 - 215	76 - 161	40 - 125
Max StatsHindering Nature	Lv. 100	230 - 324	94 - 179	220 - 305	166 - 251	148 - 233	58 - 143
Max StatsHindering Nature	Lv. 100	210 - 304	94 - 179	76 - 161	58 - 143	58 - 143	94 - 179
Max StatsHindering Nature	Lv. 100	310 - 404	184 - 269	148 - 233	112 - 197	112 - 197	94 - 179
Max StatsHindering Nature	Lv. 100	240 - 334	103 - 188	175 - 260	121 - 206	175 - 260	67 - 152
Max StatsHindering Nature	Lv. 100	180 - 274	121 - 206	67 - 152	121 - 206	67 - 152	121 - 206
Max StatsHindering Nature	Lv. 100	260 - 354	193 - 278	139 - 224	193 - 278	139 - 224	85 - 170
Max StatsHindering Nature	Lv. 100	200 - 294	103 - 188	85 - 170	121 - 206	85 - 170	139 - 224
Max StatsHindering Nature	Lv. 100	280 - 374	76 - 161	130 - 215	148 - 233	256 - 341	130 - 215
Max StatsHindering Nature	Lv. 100	240 - 334	148 - 233	256 - 341	76 - 161	130 - 215	130 - 215
Max StatsHindering Nature	Lv. 100	200 - 294	112 - 197	58 - 143	148 - 233	94 - 179	121 - 206
Max StatsHindering Nature	Lv. 100	260 - 354	166 - 251	94 - 179	202 - 287	148 - 233	175 - 260
Max StatsHindering Nature	Lv. 100	260 - 354	175 - 260	175 - 260	175 - 260	175 - 260	157 - 242
Max StatsHindering Nature	Lv. 100	290 - 384	112 - 197	112 - 197	76 - 161	76 - 161	76 - 161
Max StatsHindering Nature	Lv. 100	290 - 384	220 - 305	220 - 305	112 - 197	112 - 197	94 - 179
Max StatsHindering Nature	Lv. 100	280 - 374	148 - 233	166 - 251	193 - 278	175 - 260	112 - 197
Max StatsHindering Nature	Lv. 100	256 - 350	175 - 260	116 - 200	157 - 242	121 - 206	157 - 242
Max StatsHindering Nature	Lv. 100	220 - 314	40 - 125	67 - 152	40 - 125	85 - 170	139 - 224
Max StatsHindering Nature	Lv. 100	180 - 274	67 - 152	67 - 152	67 - 152	67 - 152	67 - 152
Max StatsHindering Nature	Lv. 100	210 - 304	175 - 260	175 - 260	67 - 152	202 - 287	130 - 215
Max StatsHindering Nature	Lv. 100	200 - 294	58 - 143	31 - 116	157 - 242	121 - 206	121 - 206
Max StatsHindering Nature	Lv. 100	200 - 294	117 - 202	71 - 155	121 - 206	103 - 188	175 - 260
Max StatsHindering Nature	Lv. 100	200 - 294	139 - 224	71 - 155	130 - 215	103 - 188	153 - 238
Max StatsHindering Nature	Lv. 100	300 - 394	148 - 233	193 - 278	76 - 161	130 - 215	184 - 269
Max StatsHindering Nature	Lv. 100	620 - 714	22 - 107	22 - 107	139 - 224	247 - 332	103 - 188
Max StatsHindering Nature	Lv. 100	290 - 384	157 - 242	139 - 224	211 - 296	184 - 269	211 - 296
Max StatsHindering Nature	Lv. 100	340 - 434	211 - 296	157 - 242	166 - 251	139 - 224	184 - 269
Max StatsHindering Nature	Lv. 100	310 - 404	139 - 224	211 - 296	166 - 251	211 - 296	157 - 242
Max StatsHindering Nature	Lv. 100	210 - 304	119 - 204	94 - 179	85 - 170	94 - 179	78 - 162
Max StatsHindering Nature	Lv. 100	250 - 344	155 - 240	130 - 215	121 - 206	130 - 215	96 - 180
Max StatsHindering Nature	Lv. 100	310 - 404	245 - 330	202 - 287	175 - 260	184 - 269	114 - 198
Max StatsHindering Nature	Lv. 100	322 - 416	166 - 251	238 - 323	166 - 251	281 - 366	202 - 287
Max StatsHindering Nature	Lv. 100	322 - 416	238 - 323	166 - 251	202 - 287	281 - 366	166 - 251
Max StatsHindering Nature	Lv. 100	310 - 404	184 - 269	184 - 269	184 - 269	184 - 269	184 - 269
Max StatsHindering Nature	Lv. 100	190 - 284	85 - 170	67 - 152	121 - 206	103 - 188	130 - 215
Max StatsHindering Nature	Lv. 100	210 - 304	121 - 206	85 - 170	157 - 242	121 - 206	175 - 260
