,First_pokemon,Second_pokemon,Winner
245,Venusaur,Fletchling,Venusaur
246,Skorupi,Farfetch'd,Skorupi
247,Keldeo,Onix,Keldeo
248,Wormadam,Butterfree,Butterfree
249,Delphox,Ivysaur,Delphox
250,Kingdra,Spoink,Kingdra
251,Altaria,Solrock,Altaria
252,Grumpig,Helioptile,Grumpig
253,Bellossom,Electrode,Bellossom
254,Kabuto,Barbaracle,Barbaracle
255,Croconaw,Vanilluxe,Vanilluxe
256,Infernape,Persian,Persian
257,Krookodile,Staravia,Krookodile
258,Bergmite,Seadra,Seadra
259,Watchog,Murkrow,Murkrow
260,Zapdos,Cinccino,Cinccino
261,Shuppet,Pidgey,Pidgey
262,Shelgon,Gorebyss,Gorebyss
263,Sharpedo,Prinplup,Sharpedo
264,Golem,Purrloin,Purrloin
265,Totodile,Petilil,Totodile
266,Aurorus,Simisage,Simisage
267,Vileplume,Drifloon,Drifloon
268,Budew,Hypno,Hypno
269,Darkrai,Amaura,Darkrai
270,Mamoswine,Florges,Mamoswine
271,Vespiquen,Dragalge,Dragalge
272,Jolteon,Hoopa,Hoopa
273,Simisage,Jigglypuff,Simisage
274,Purrloin,Skiddo,Purrloin
275,Xatu,Fearow,Fearow
276,Houndour,Bidoof,Houndour
277,Torterra,Ninetales,Ninetales
278,Yveltal,Spinda,Yveltal
279,Ampharos,Malamar,Malamar
280,Luxray,Avalugg,Luxray
281,Quagsire,Starly,Starly
282,Dedenne,Blitzle,Dedenne
283,Huntail,Persian,Persian
284,Walrein,Metagross,Metagross
285,Qwilfish,Accelgor,Accelgor
286,Spritzee,Ampharos,Ampharos
287,Musharna,Grotle,Grotle
288,Wooper,Nidoking,Nidoking
289,NidoranM,Meloetta,Meloetta
290,Kakuna,Burmy,Burmy
291,Uxie,Gogoat,Uxie
292,Virizion,Carracosta,Virizion
293,Huntail,Metang,Huntail
294,Tangrowth,Magmar,Magmar
295,Pachirisu,Magnemite,Pachirisu
296,Toxicroak,Skorupi,Toxicroak
297,Sewaddle,Vanillite,Vanillite
298,Wormadam,Ponyta,Ponyta
299,Phione,Mamoswine,Mamoswine
300,Reshiram,Yanmega,Yanmega
301,Caterpie,Mankey,Mankey
302,Bunnelby,Hippowdon,Bunnelby
303,Spinarak,Skarmory,Skarmory
304,Skiddo,Lickitung,Skiddo
305,Chespin,Simisear,Simisear
306,Gible,Nidoqueen,Nidoqueen
307,Mesprit,Kabutops,Kabutops
308,Kabuto,Moltres,Moltres
309,Flabébé,Kakuna,Flabébé
310,Spinarak,Pidove,Pidove
311,Abra,Wingull,Abra
312,Mime Jr.,Marill,Mime Jr.
313,Druddigon,Carnivine,Druddigon
314,Ivysaur,Dwebble,Ivysaur
315,Vivillon,Smeargle,Vivillon
316,Kadabra,Volcanion,Kadabra
317,Rhyhorn,Poliwhirl,Poliwhirl
318,Flabébé,Lilligant,Lilligant
319,Poliwrath,Glalie,Glalie
320,Azelf,Keldeo,Azelf
321,Munna,Meowth,Meowth
322,Doublade,Ekans,Ekans
323,Tropius,Duosion,Tropius
324,Quagsire,Pyroar,Quagsire
325,Mothim,Durant,Durant
326,Wormadam,Vanillite,Vanillite
327,Darumaka,Foongus,Darumaka
328,Houndour,Gurdurr,Gurdurr
329,Diggersby,Gigalith,Gigalith
330,Rhyperior,Florges,Rhyperior
331,Prinplup,Mamoswine,Mamoswine
332,Minccino,Groudon,Groudon
333,Shedinja,Lotad,Shedinja
334,Combee,Avalugg,Avalugg
335,Aurorus,Charizard,Charizard
336,Cranidos,Cherrim,Cherrim
337,Corsola,Fletchinder,Corsola
338,Bouffalant,Togepi,Bouffalant
339,Ho-oh,Pidgey,Ho-oh
340,Flabébé,Bergmite,Flabébé
341,Lopunny,Gligar,Lopunny
342,Simisear,Swampert,Simisear
343,Scraggy,Shaymin,Shaymin
344,Bulbasaur,Accelgor,Accelgor
345,Conkeldurr,Starmie,Conkeldurr
346,Turtwig,Manectric,Manectric
347,Houndour,Budew,Houndour
348,Beedrill,Landorus,Landorus
349,Roserade,Ekans,Roserade
350,Machop,Cubone,Cubone
351,Corphish,Slowbro,Corphish
352,Mienfoo,Avalugg,Mienfoo
353,Ledian,Helioptile,Ledian
354,Roggenrola,Lucario,Lucario
355,Gigalith,Excadrill,Excadrill
356,Talonflame,Bulbasaur,Talonflame
357,Mismagius,Gliscor,Mismagius
358,Spewpa,Beedrill,Beedrill
359,Minccino,Carvanha,Minccino
360,Herdier,Swirlix,Herdier
361,Camerupt,Graveler,Camerupt
362,Latios,Rapidash,Latios
363,Lilligant,Slowking,Lilligant
364,Chansey,Swoobat,Swoobat
365,Moltres,Weepinbell,Moltres
366,Lumineon,Dustox,Lumineon
367,Clauncher,Golurk,Golurk
368,Jirachi,Hoppip,Jirachi
369,Mantyke,Marill,Mantyke
370,Shroomish,Golbat,Golbat
371,Tentacruel,Slaking,Slaking
372,Combee,Hoppip,Combee
373,Cobalion,Oddish,Cobalion
374,Machop,Bronzor,Machop
375,Carracosta,Slaking,Slaking
376,Misdreavus,Joltik,Misdreavus
377,Zorua,Reshiram,Reshiram
378,Mandibuzz,Aron,Mandibuzz
379,Wartortle,Masquerain,Masquerain
380,Stunky,Pidgeotto,Stunky
381,Eelektrik,Cyndaquil,Cyndaquil
382,Nidorino,Shiftry,Shiftry
383,Skrelp,Dragalge,Dragalge
384,Empoleon,Bulbasaur,Empoleon
385,Grotle,Pinsir,Pinsir
386,Cobalion,Turtwig,Cobalion
387,Paras,Cradily,Cradily
388,Zapdos,Quilava,Zapdos
389,Amaura,Corphish,Amaura
390,Bergmite,Braviary,Braviary
391,Absol,Smeargle,Smeargle
392,Cloyster,Totodile,Cloyster
393,Meowth,Porygon2,Meowth
394,Snubbull,Wurmple,Snubbull
395,Swablu,Petilil,Swablu
396,Salamence,Rotom,Salamence
397,Deerling,Lotad,Deerling
398,Metapod,Slurpuff,Slurpuff
399,Ampharos,Carbink,Ampharos
400,Suicune,Poliwrath,Suicune
401,Patrat,Honedge,Honedge
402,Doublade,Houndoom,Houndoom
403,Cranidos,Wingull,Wingull
404,Azurill,Simisear,Simisear
405,Blissey,Poliwhirl,Poliwhirl
406,Beautifly,Eelektross,Beautifly
407,Horsea,Garchomp,Garchomp
408,Donphan,Kingler,Kingler
409,Abra,Espeon,Espeon
410,Rhyhorn,Minun,Rhyhorn
411,Steelix,Totodile,Totodile
412,Deino,Seel,Seel
413,Salamence,Stantler,Salamence
414,Flaaffy,Cottonee,Cottonee
415,Seadra,Geodude,Seadra
416,Larvesta,Medicham,Medicham
417,Kyogre,Thundurus,Thundurus
418,Salamence,Baltoy,Salamence
419,Blitzle,Groudon,Groudon
420,Yanmega,Tyranitar,Yanmega
421,Ralts,Zekrom,Zekrom
422,Kecleon,Gible,Gible
423,Emboar,Kadabra,Emboar
424,Poliwrath,Flygon,Flygon
425,Axew,Talonflame,Talonflame
426,Zorua,Caterpie,Zorua
427,Reuniclus,Plusle,Plusle
428,Swablu,Jirachi,Jirachi
429,Clawitzer,Probopass,Clawitzer
430,Glalie,Dragonair,Glalie
431,Exeggcute,Lampent,Lampent
432,Girafarig,Flabébé,Girafarig
433,Shelgon,Deerling,Deerling
434,Rhyperior,Krabby,Krabby
435,Scrafty,Litleo,Litleo
436,Espeon,Goldeen,Espeon
437,Golurk,Sawsbuck,Sawsbuck
438,Luvdisc,Latios,Latios
439,Hippowdon,Rufflet,Rufflet
440,Metagross,Tranquill,Metagross
441,Machoke,Torchic,Torchic
442,Baltoy,Ampharos,Ampharos
443,Cascoon,Snover,Snover
444,Marshtomp,Lanturn,Marshtomp
445,Castform,Volcarona,Volcarona
446,Lombre,Skiddo,Skiddo
447,Gulpin,Avalugg,Gulpin
448,Jigglypuff,Azurill,Azurill
449,Magnemite,Klefki,Klefki
450,Omastar,Magcargo,Omastar
451,Carbink,Elgyem,Carbink
452,Larvitar,Swellow,Swellow
453,Swadloon,Crawdaunt,Crawdaunt
454,Pikachu,Chatot,Chatot
455,Doduo,Spinarak,Doduo
456,Swoobat,Dusclops,Swoobat
457,Lopunny,Grotle,Lopunny
458,Trapinch,Rayquaza,Rayquaza
459,Haunter,Pidgey,Pidgey
460,Pupitar,Spinarak,Pupitar
461,Squirtle,Weedle,Weedle
462,Delibird,Furret,Furret
463,Yanma,Pachirisu,Pachirisu
464,Klefki,Barbaracle,Klefki
465,Natu,Chesnaught,Natu
466,Snivy,Staravia,Staravia
467,Uxie,Graveler,Uxie
468,Tangela,Grotle,Tangela
469,Palpitoad,Carracosta,Palpitoad
470,Salamence,Diglett,Salamence
471,Burmy,Swellow,Swellow
472,Arcanine,Vanillite,Arcanine
473,Roggenrola,Loudred,Loudred
474,Blissey,Wooper,Wooper
475,Hitmonchan,Gible,Hitmonchan
476,Machamp,Glameow,Glameow
477,NidoranM,Wingull,Wingull
478,Doublade,Alomomola,Alomomola
479,Roserade,Croconaw,Roserade
480,Crawdaunt,Mantyke,Crawdaunt
481,Noibat,Hoppip,Noibat
482,Glameow,Dialga,Dialga
483,Kecleon,Articuno,Articuno
484,Aron,Sawsbuck,Sawsbuck
485,Lillipup,Sandslash,Sandslash
486,Slowpoke,Skorupi,Skorupi
487,Murkrow,Torterra,Murkrow
488,Shaymin,Klefki,Shaymin
489,Taillow,Camerupt,Taillow
490,Infernape,Trubbish,Infernape
491,Yanma,Glalie,Yanma
492,Blitzle,Eelektross,Blitzle
493,Paras,Trevenant,Trevenant
494,Gible,Registeel,Registeel
495,Magmortar,Unfezant,Unfezant
496,Wartortle,Sylveon,Sylveon
497,Mightyena,Vigoroth,Vigoroth
498,Tentacool,Zoroark,Zoroark
499,Torterra,Golem,Torterra
500,Watchog,Venomoth,Venomoth
501,Vigoroth,Aromatisse,Vigoroth
502,Houndour,Golurk,Houndour
503,Larvesta,Slowking,Larvesta
504,Bellsprout,Herdier,Herdier
505,Luxray,Pidgey,Luxray
506,Mr. Mime,Drifloon,Mr. Mime
507,Hippopotas,Slowking,Hippopotas
508,Exeggcute,Cleffa,Exeggcute
509,Nidorino,Magmortar,Magmortar
510,Seaking,Pelipper,Seaking
511,Gardevoir,Nidorino,Gardevoir
512,Volcarona,Burmy,Volcarona
513,Zekrom,Shieldon,Zekrom
514,Gengar,Ralts,Gengar
515,Spheal,Swinub,Swinub
516,Nidoqueen,Blastoise,Blastoise
517,Lucario,Marshtomp,Lucario
518,Emolga,Happiny,Emolga
519,Jolteon,Igglybuff,Jolteon
520,Krabby,Raichu,Raichu
521,Pignite,Azelf,Azelf
522,Fearow,Ninetales,Ninetales
523,Torchic,Bayleef,Bayleef
524,Karrablast,Foongus,Karrablast
525,Gothitelle,Absol,Absol
526,Slowking,Silcoon,Slowking
527,Simipour,Shuckle,Simipour
528,Meditite,Aggron,Meditite
529,Tentacool,Chimecho,Tentacool
530,Ledian,Clefairy,Ledian
531,Magmar,Giratina,Magmar
532,Sunflora,Golurk,Golurk
533,Minccino,Glameow,Glameow
534,Purugly,Braviary,Purugly
535,Blissey,Zubat,Zubat
536,Slowbro,Persian,Persian
537,Gothorita,Deino,Deino
538,Zweilous,Grovyle,Grovyle
539,Bronzor,Haunter,Haunter
540,Skuntank,Klink,Klink
541,Chesnaught,Garbodor,Garbodor
542,Camerupt,Hitmontop,Hitmontop
543,Bronzor,Whirlipede,Whirlipede
544,Spearow,Hoopa,Hoopa
545,Venipede,Starmie,Starmie
546,Medicham,Rotom,Rotom
547,Nuzleaf,Noctowl,Noctowl
548,Magby,Grumpig,Magby
549,Deoxys,Buneary,Deoxys
550,Giratina,Regice,Giratina
551,Croconaw,Steelix,Croconaw
552,Arcanine,Totodile,Arcanine
553,Xerneas,Houndour,Xerneas
554,Dusknoir,Monferno,Monferno
555,Aerodactyl,Karrablast,Aerodactyl
556,Carracosta,Omanyte,Omanyte
557,Vaporeon,Ferrothorn,Ferrothorn
558,Carvanha,Drowzee,Carvanha
559,Swadloon,Bunnelby,Bunnelby
560,Swalot,Porygon-Z,Porygon-Z
561,Pidove,Whiscash,Pidove
562,Ivysaur,Murkrow,Murkrow
563,Squirtle,Tympole,Tympole
564,Froslass,Dragalge,Froslass
565,Kirlia,Sealeo,Kirlia
566,Zapdos,Smoochum,Zapdos
567,Venonat,Sawk,Sawk
568,Groudon,Bunnelby,Groudon
569,Heracross,Aggron,Heracross
570,Dragonite,Marowak,Dragonite
571,Persian,Koffing,Persian
572,Zorua,Gogoat,Gogoat
573,Mime Jr.,Zekrom,Zekrom
574,Ledyba,Braviary,Braviary
575,Dragonite,Piplup,Dragonite
576,Greninja,Girafarig,Greninja
577,Reshiram,Clawitzer,Reshiram
578,Hoopa,Axew,Axew
579,Charmeleon,Zubat,Charmeleon
580,Tornadus,Talonflame,Talonflame
581,Pancham,Houndoom,Houndoom
582,Dedenne,Cranidos,Dedenne
583,Mightyena,Stunfisk,Mightyena
584,Dialga,Wingull,Dialga
585,Wooper,Pawniard,Pawniard
586,Drapion,Mankey,Drapion
587,Hitmonchan,Mienfoo,Hitmonchan
588,Swablu,Stunfisk,Stunfisk
589,Mothim,Combee,Combee
590,Remoraid,Skitty,Remoraid
591,Sneasel,Elgyem,Sneasel
592,Lugia,Hawlucha,Hawlucha
593,Azumarill,Absol,Absol
594,Ledian,Wailmer,Ledian
595,Eelektrik,Nidorino,Nidorino
596,Buneary,Clamperl,Buneary
597,Milotic,Fennekin,Milotic
598,Walrein,Tranquill,Tranquill
599,Tangela,Petilil,Tangela
600,Skorupi,Tangela,Skorupi
601,Watchog,Meloetta,Meloetta
602,Piloswine,Dodrio,Dodrio
603,Vanilluxe,Cherubi,Vanilluxe
604,Magnemite,Shellos,Magnemite
605,Liepard,Dunsparce,Liepard
606,Swanna,Clefable,Swanna
607,Emboar,Ninjask,Ninjask
608,Horsea,Scrafty,Horsea
609,Combusken,Crobat,Crobat
610,Venipede,Staryu,Staryu
611,Tepig,Pansear,Pansear
612,Beldum,Pineco,Beldum
613,Mr. Mime,Ledian,Mr. Mime
614,Landorus,Magby,Landorus
615,Lickilicky,Seismitoad,Seismitoad
616,Simipour,Dusknoir,Simipour
617,Tyranitar,Burmy,Tyranitar
618,Zoroark,Cubone,Zoroark
619,Zangoose,Haunter,Haunter
620,Solrock,Golduck,Golduck
621,Houndoom,Manectric,Manectric
622,Tyrogue,Arbok,Arbok
623,Vullaby,Timburr,Vullaby
624,Koffing,Sharpedo,Sharpedo
625,Misdreavus,Arbok,Misdreavus
626,Tynamo,Blastoise,Blastoise
627,Cascoon,Paras,Paras
628,Rhyhorn,Tyrogue,Tyrogue
629,Hoothoot,Shieldon,Hoothoot
630,Flareon,Volbeat,Volbeat
631,Heatmor,Poliwrath,Poliwrath
632,Cresselia,Chespin,Cresselia
633,Dodrio,Flabébé,Dodrio
634,Swalot,Drilbur,Drilbur
635,Dunsparce,Stoutland,Stoutland
636,Mew,Pignite,Mew
637,Gloom,Gardevoir,Gardevoir
638,Vibrava,Meloetta,Meloetta
639,Snubbull,Mantyke,Snubbull
640,Ivysaur,Gurdurr,Ivysaur
641,Gloom,Jynx,Jynx
642,Wormadam,Exeggcute,Exeggcute
643,Elgyem,Grimer,Elgyem
644,Magby,Slowking,Slowking
645,Anorith,Durant,Durant
646,Munchlax,Bronzor,Munchlax
647,Shroomish,Kabutops,Kabutops
648,Sharpedo,Klinklang,Sharpedo
649,Rhyperior,Staryu,Rhyperior
650,Manaphy,Gastly,Manaphy
651,Mothim,Braviary,Braviary
652,Exeggutor,Pachirisu,Pachirisu
653,Lickitung,Lunatone,Lunatone
654,Manaphy,Venonat,Manaphy
655,Mismagius,Timburr,Mismagius
656,Heliolisk,Audino,Heliolisk
657,Cryogonal,Weedle,Cryogonal
658,Phanpy,Elekid,Phanpy
659,Parasect,Garchomp,Garchomp
660,Espurr,Garchomp,Garchomp
661,Buneary,Braixen,Buneary
662,Kirlia,Magcargo,Kirlia
663,Linoone,Gliscor,Linoone
664,Aegislash,Jigglypuff,Aegislash
665,Beautifly,Shellos,Beautifly
666,Aerodactyl,Skitty,Aerodactyl
667,Gothitelle,Spinda,Gothitelle
668,Beedrill,Seviper,Beedrill
669,Porygon-Z,Hoppip,Porygon-Z
670,Seaking,Deino,Seaking
671,Slowking,Chespin,Chespin
672,Electivire,Koffing,Electivire
673,Seadra,Zigzagoon,Seadra
674,Pignite,Murkrow,Murkrow
675,Dragalge,Slowpoke,Dragalge
676,Serperior,Hippowdon,Serperior
677,Marshtomp,Whirlipede,Marshtomp
678,Sandile,Fletchinder,Fletchinder
679,Banette,Breloom,Breloom
680,Lapras,Hitmonchan,Hitmonchan
681,Caterpie,Dragonite,Dragonite
682,Liepard,Gible,Liepard
683,Manaphy,Seadra,Manaphy
684,Skuntank,Espeon,Espeon
685,Gliscor,Dunsparce,Gliscor
686,Sealeo,Omastar,Omastar
687,Crawdaunt,Smeargle,Smeargle
688,Flabébé,Sentret,Flabébé
689,Hitmonchan,Chatot,Chatot
690,Seviper,Toxicroak,Toxicroak
691,Swampert,Stantler,Stantler
692,Oddish,Tyranitar,Tyranitar
693,Leafeon,Furret,Leafeon
694,Pidove,Vullaby,Vullaby
695,Tyrantrum,Flabébé,Tyrantrum
696,Mothim,Elekid,Elekid
697,Purrloin,Diancie,Purrloin
698,Eevee,Flareon,Flareon
699,Gardevoir,Silcoon,Gardevoir
700,Unfezant,Manaphy,Manaphy
701,Geodude,Kadabra,Geodude
702,Noctowl,Tangrowth,Noctowl
703,Jolteon,Archeops,Jolteon
704,Grovyle,Wingull,Grovyle
705,Scraggy,Ho-oh,Ho-oh
706,Litwick,Whismur,Whismur
707,Bonsly,Gallade,Gallade
708,Kecleon,Dratini,Dratini
709,Oddish,Gothita,Gothita
710,Xerneas,Barboach,Xerneas
711,Simisage,Numel,Simisage
712,Kyogre,Mr. Mime,Mr. Mime
713,Ludicolo,Throh,Ludicolo
714,Sylveon,Azurill,Sylveon
715,Kecleon,Azurill,Kecleon
716,Glaceon,Magmortar,Magmortar
717,Dusclops,Meowstic,Meowstic
718,Larvesta,Shellder,Larvesta
719,Ambipom,Lombre,Ambipom
720,Swanna,Crustle,Swanna
721,Luxio,Cobalion,Cobalion
722,Zebstrika,Luxio,Zebstrika
723,Houndour,Charizard,Charizard
724,Krookodile,Gothitelle,Krookodile
725,Metapod,Spinarak,Spinarak
726,Yamask,Poliwrath,Poliwrath
727,Mudkip,Meloetta,Meloetta
