Stats	Level	HP	Attack	Defense	Sp. Attack	Sp. Defense	Speed
Max StatsNeutral Nature	Lv. 100	220 - 314	167 - 261	125 - 219	105 - 199	145 - 239	199 - 293
Max StatsNeutral Nature	Lv. 100	190 - 284	125 - 219	65 - 159	67 - 161	67 - 161	145 - 239
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	135 - 229	127 - 221	127 - 221	205 - 299
Max StatsNeutral Nature	Lv. 100	180 - 274	125 - 219	93 - 187	85 - 179	113 - 207	115 - 209
Max StatsNeutral Nature	Lv. 100	230 - 324	195 - 289	143 - 237	135 - 229	163 - 257	165 - 259
Max StatsNeutral Nature	Lv. 100	180 - 274	115 - 209	85 - 179	105 - 199	105 - 199	185 - 279
Max StatsNeutral Nature	Lv. 100	230 - 324	185 - 279	115 - 209	185 - 279	165 - 259	225 - 319
Max StatsNeutral Nature	Lv. 100	210 - 304	155 - 249	175 - 269	45 - 139	65 - 159	85 - 179
Max StatsNeutral Nature	Lv. 100	260 - 354	205 - 299	225 - 319	95 - 189	115 - 209	135 - 229
Max StatsNeutral Nature	Lv. 100	220 - 314	99 - 193	109 - 203	85 - 179	85 - 179	87 - 181
Max StatsNeutral Nature	Lv. 100	250 - 344	129 - 223	139 - 233	115 - 209	115 - 209	117 - 211
Max StatsNeutral Nature	Lv. 100	290 - 384	189 - 283	179 - 273	155 - 249	175 - 269	157 - 251
Max StatsNeutral Nature	Lv. 100	202 - 296	119 - 213	85 - 179	85 - 179	85 - 179	105 - 199
Max StatsNeutral Nature	Lv. 100	232 - 326	149 - 243	119 - 213	115 - 209	115 - 209	135 - 229
Max StatsNeutral Nature	Lv. 100	272 - 366	209 - 303	159 - 253	175 - 269	155 - 249	175 - 269
Max StatsNeutral Nature	Lv. 100	250 - 344	95 - 189	101 - 195	125 - 219	135 - 229	75 - 169
Max StatsNeutral Nature	Lv. 100	300 - 394	145 - 239	151 - 245	195 - 289	185 - 279	125 - 219
Max StatsNeutral Nature	Lv. 100	186 - 280	87 - 181	85 - 179	105 - 199	135 - 229	135 - 229
Max StatsNeutral Nature	Lv. 100	256 - 350	157 - 251	155 - 249	167 - 261	205 - 299	205 - 299
Max StatsNeutral Nature	Lv. 100	340 - 434	95 - 189	45 - 139	95 - 189	55 - 149	45 - 139
Max StatsNeutral Nature	Lv. 100	390 - 484	145 - 239	95 - 189	175 - 269	105 - 199	95 - 189
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	75 - 169	65 - 159	85 - 179	115 - 209
Max StatsNeutral Nature	Lv. 100	260 - 354	165 - 259	145 - 239	135 - 229	155 - 249	185 - 279
Max StatsNeutral Nature	Lv. 100	200 - 294	105 - 199	115 - 209	155 - 249	135 - 229	65 - 159
Max StatsNeutral Nature	Lv. 100	230 - 324	135 - 229	145 - 239	175 - 269	155 - 249	85 - 179
Max StatsNeutral Nature	Lv. 100	260 - 354	165 - 259	175 - 269	225 - 319	185 - 279	105 - 199
Max StatsNeutral Nature	Lv. 100	180 - 274	145 - 239	115 - 209	95 - 189	115 - 209	55 - 149
Max StatsNeutral Nature	Lv. 100	230 - 324	195 - 289	165 - 259	125 - 219	165 - 259	65 - 159
Max StatsNeutral Nature	Lv. 100	230 - 324	115 - 209	105 - 199	85 - 179	115 - 209	95 - 189
Max StatsNeutral Nature	Lv. 100	250 - 344	135 - 229	125 - 219	185 - 279	155 - 249	185 - 279
Max StatsNeutral Nature	Lv. 100	130 - 224	115 - 209	55 - 149	75 - 169	95 - 189	195 - 289
Max StatsNeutral Nature	Lv. 100	180 - 274	205 - 299	105 - 199	105 - 199	145 - 239	245 - 339
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	75 - 169	85 - 179	85 - 179	185 - 279
Max StatsNeutral Nature	Lv. 100	240 - 334	145 - 239	125 - 219	135 - 229	135 - 229	235 - 329
Max StatsNeutral Nature	Lv. 100	210 - 304	109 - 203	101 - 195	135 - 229	105 - 199	115 - 209
Max StatsNeutral Nature	Lv. 100	270 - 364	169 - 263	161 - 255	195 - 289	165 - 259	175 - 269
Max StatsNeutral Nature	Lv. 100	190 - 284	165 - 259	75 - 169	75 - 169	95 - 189	145 - 239
Max StatsNeutral Nature	Lv. 100	240 - 334	215 - 309	125 - 219	125 - 219	145 - 239	195 - 289
Max StatsNeutral Nature	Lv. 100	220 - 314	145 - 239	95 - 189	145 - 239	105 - 199	125 - 219
Max StatsNeutral Nature	Lv. 100	290 - 384	225 - 319	165 - 259	205 - 299	165 - 259	195 - 289
Max StatsNeutral Nature	Lv. 100	190 - 284	105 - 199	85 - 179	85 - 179	85 - 179	185 - 279
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	135 - 229	105 - 199	105 - 199	185 - 279
Max StatsNeutral Nature	Lv. 100	290 - 384	195 - 289	195 - 289	145 - 239	185 - 279	145 - 239
Max StatsNeutral Nature	Lv. 100	160 - 254	45 - 139	35 - 129	215 - 309	115 - 209	185 - 279
Max StatsNeutral Nature	Lv. 100	190 - 284	75 - 169	65 - 159	245 - 339	145 - 239	215 - 309
Max StatsNeutral Nature	Lv. 100	220 - 314	105 - 199	95 - 189	275 - 369	195 - 289	245 - 339
Max StatsNeutral Nature	Lv. 100	250 - 344	165 - 259	105 - 199	75 - 169	75 - 169	75 - 169
Max StatsNeutral Nature	Lv. 100	270 - 364	205 - 299	145 - 239	105 - 199	125 - 219	95 - 189
Max StatsNeutral Nature	Lv. 100	290 - 384	265 - 359	165 - 259	135 - 229	175 - 269	115 - 209
Max StatsNeutral Nature	Lv. 100	210 - 304	155 - 249	75 - 169	145 - 239	65 - 159	85 - 179
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	105 - 199	175 - 269	95 - 189	115 - 209
Max StatsNeutral Nature	Lv. 100	270 - 364	215 - 309	135 - 229	205 - 299	145 - 239	145 - 239
Max StatsNeutral Nature	Lv. 100	190 - 284	85 - 179	75 - 169	105 - 199	205 - 299	145 - 239
Max StatsNeutral Nature	Lv. 100	270 - 364	145 - 239	135 - 229	165 - 259	245 - 339	205 - 299
Max StatsNeutral Nature	Lv. 100	190 - 284	165 - 259	205 - 299	65 - 159	65 - 159	45 - 139
Max StatsNeutral Nature	Lv. 100	220 - 314	195 - 289	235 - 329	95 - 189	95 - 189	75 - 169
Max StatsNeutral Nature	Lv. 100	270 - 364	245 - 339	265 - 359	115 - 209	135 - 229	95 - 189
Max StatsNeutral Nature	Lv. 100	210 - 304	175 - 269	115 - 209	135 - 229	135 - 229	185 - 279
Max StatsNeutral Nature	Lv. 100	240 - 334	205 - 299	145 - 239	165 - 259	165 - 259	215 - 309
Max StatsNeutral Nature	Lv. 100	290 - 384	135 - 229	135 - 229	85 - 179	85 - 179	35 - 129
Max StatsNeutral Nature	Lv. 100	300 - 394	155 - 249	225 - 319	205 - 299	165 - 259	65 - 159
Max StatsNeutral Nature	Lv. 100	160 - 254	75 - 169	145 - 239	195 - 289	115 - 209	95 - 189
Max StatsNeutral Nature	Lv. 100	210 - 304	125 - 219	195 - 289	245 - 339	145 - 239	145 - 239
Max StatsNeutral Nature	Lv. 100	214 - 308	185 - 279	115 - 209	121 - 215	129 - 223	125 - 219
Max StatsNeutral Nature	Lv. 100	180 - 274	175 - 269	95 - 189	75 - 169	75 - 169	155 - 249
Max StatsNeutral Nature	Lv. 100	230 - 324	225 - 319	145 - 239	125 - 219	125 - 219	225 - 319
Max StatsNeutral Nature	Lv. 100	240 - 334	95 - 189	115 - 209	95 - 189	145 - 239	95 - 189
Max StatsNeutral Nature	Lv. 100	290 - 384	145 - 239	165 - 259	145 - 239	195 - 289	145 - 239
Max StatsNeutral Nature	Lv. 100	270 - 364	165 - 259	105 - 199	85 - 179	105 - 199	55 - 149
Max StatsNeutral Nature	Lv. 100	320 - 414	215 - 309	155 - 249	135 - 229	205 - 299	105 - 199
Max StatsNeutral Nature	Lv. 100	170 - 264	135 - 229	205 - 299	95 - 189	55 - 149	85 - 179
Max StatsNeutral Nature	Lv. 100	210 - 304	195 - 289	365 - 459	175 - 269	95 - 189	145 - 239
Max StatsNeutral Nature	Lv. 100	170 - 264	75 - 169	65 - 159	205 - 299	75 - 169	165 - 259
Max StatsNeutral Nature	Lv. 100	200 - 294	105 - 199	95 - 189	235 - 329	115 - 209	195 - 289
Max StatsNeutral Nature	Lv. 100	230 - 324	135 - 229	125 - 219	265 - 359	155 - 249	225 - 319
Max StatsNeutral Nature	Lv. 100	180 - 274	95 - 189	325 - 419	65 - 159	95 - 189	145 - 239
Max StatsNeutral Nature	Lv. 100	230 - 324	101 - 195	95 - 189	91 - 185	185 - 279	89 - 183
Max StatsNeutral Nature	Lv. 100	280 - 374	151 - 245	145 - 239	151 - 245	235 - 329	139 - 233
Max StatsNeutral Nature	Lv. 100	170 - 264	215 - 309	185 - 279	55 - 149	55 - 149	105 - 199
Max StatsNeutral Nature	Lv. 100	220 - 314	265 - 359	235 - 329	105 - 199	105 - 199	155 - 249
Max StatsNeutral Nature	Lv. 100	190 - 284	65 - 159	105 - 199	115 - 209	115 - 209	205 - 299
Max StatsNeutral Nature	Lv. 100	230 - 324	105 - 199	145 - 239	165 - 259	165 - 259	305 - 399
Max StatsNeutral Nature	Lv. 100	230 - 324	85 - 179	165 - 259	125 - 219	95 - 189	85 - 179
Max StatsNeutral Nature	Lv. 100	300 - 394	195 - 289	175 - 269	255 - 349	155 - 249	115 - 209
Max StatsNeutral Nature	Lv. 100	210 - 304	105 - 199	195 - 289	85 - 179	105 - 199	75 - 169
Max StatsNeutral Nature	Lv. 100	230 - 324	165 - 259	225 - 319	105 - 199	165 - 259	95 - 189
Max StatsNeutral Nature	Lv. 100	210 - 304	245 - 339	111 - 205	75 - 169	225 - 319	179 - 273
Max StatsNeutral Nature	Lv. 100	210 - 304	215 - 309	163 - 257	75 - 169	225 - 319	157 - 251
Max StatsNeutral Nature	Lv. 100	290 - 384	115 - 209	155 - 249	125 - 219	155 - 249	65 - 159
Max StatsNeutral Nature	Lv. 100	190 - 284	135 - 229	195 - 289	125 - 219	95 - 189	75 - 169
Max StatsNeutral Nature	Lv. 100	240 - 334	185 - 279	245 - 339	175 - 269	145 - 239	125 - 219
Max StatsNeutral Nature	Lv. 100	270 - 364	175 - 269	195 - 289	65 - 159	65 - 159	55 - 149
Max StatsNeutral Nature	Lv. 100	320 - 414	265 - 359	245 - 339	95 - 189	95 - 189	85 - 179
Max StatsNeutral Nature	Lv. 100	610 - 704	15 - 109	15 - 109	75 - 169	215 - 309	105 - 199
Max StatsNeutral Nature	Lv. 100	240 - 334	115 - 209	235 - 329	205 - 299	85 - 179	125 - 219
Max StatsNeutral Nature	Lv. 100	320 - 414	195 - 289	165 - 259	85 - 179	165 - 259	185 - 279
Max StatsNeutral Nature	Lv. 100	170 - 264	85 - 179	145 - 239	145 - 239	55 - 149	125 - 219
Max StatsNeutral Nature	Lv. 100	220 - 314	135 - 229	195 - 289	195 - 289	95 - 189	175 - 269
Max StatsNeutral Nature	Lv. 100	200 - 294	139 - 233	125 - 219	75 - 169	105 - 199	131 - 225
Max StatsNeutral Nature	Lv. 100	270 - 364	189 - 283	135 - 229	135 - 229	165 - 259	141 - 235
Max StatsNeutral Nature	Lv. 100	170 - 264	95 - 189	115 - 209	145 - 239	115 - 209	175 - 269
Max StatsNeutral Nature	Lv. 100	230 - 324	155 - 249	175 - 269	205 - 299	175 - 269	235 - 329
Max StatsNeutral Nature	Lv. 100	190 - 284	95 - 189	135 - 229	205 - 299	245 - 339	185 - 279
Max StatsNeutral Nature	Lv. 100	250 - 344	225 - 319	165 - 259	115 - 209	165 - 259	215 - 309
Max StatsNeutral Nature	Lv. 100	240 - 334	105 - 199	75 - 169	235 - 329	195 - 289	195 - 289
Max StatsNeutral Nature	Lv. 100	240 - 334	171 - 265	119 - 213	195 - 289	175 - 269	215 - 309
Max StatsNeutral Nature	Lv. 100	240 - 334	195 - 289	119 - 213	205 - 299	175 - 269	191 - 285
Max StatsNeutral Nature	Lv. 100	240 - 334	255 - 349	205 - 299	115 - 209	145 - 239	175 - 269
Max StatsNeutral Nature	Lv. 100	260 - 354	205 - 299	195 - 289	85 - 179	145 - 239	225 - 319
Max StatsNeutral Nature	Lv. 100	150 - 244	25 - 119	115 - 209	35 - 129	45 - 139	165 - 259
Max StatsNeutral Nature	Lv. 100	300 - 394	255 - 349	163 - 257	125 - 219	205 - 299	167 - 261
Max StatsNeutral Nature	Lv. 100	370 - 464	175 - 269	165 - 259	175 - 269	195 - 289	125 - 219
Max StatsNeutral Nature	Lv. 100	206 - 300	101 - 195	101 - 195	101 - 195	101 - 195	101 - 195
Max StatsNeutral Nature	Lv. 100	220 - 314	115 - 209	105 - 199	95 - 189	135 - 229	115 - 209
Max StatsNeutral Nature	Lv. 100	370 - 464	135 - 229	125 - 219	225 - 319	195 - 289	135 - 229
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	125 - 219	225 - 319	195 - 289	265 - 359
Max StatsNeutral Nature	Lv. 100	240 - 334	265 - 359	125 - 219	195 - 289	225 - 319	135 - 229
Max StatsNeutral Nature	Lv. 100	240 - 334	125 - 219	145 - 239	175 - 269	155 - 249	85 - 179
Max StatsNeutral Nature	Lv. 100	180 - 274	85 - 179	205 - 299	185 - 279	115 - 209	75 - 169
Max StatsNeutral Nature	Lv. 100	250 - 344	125 - 219	255 - 349	235 - 329	145 - 239	115 - 209
Max StatsNeutral Nature	Lv. 100	170 - 264	165 - 259	185 - 279	115 - 209	95 - 189	115 - 209
Max StatsNeutral Nature	Lv. 100	230 - 324	235 - 329	215 - 309	135 - 229	145 - 239	165 - 259
Max StatsNeutral Nature	Lv. 100	270 - 364	215 - 309	135 - 229	125 - 219	155 - 249	265 - 359
Max StatsNeutral Nature	Lv. 100	430 - 524	225 - 319	135 - 229	135 - 229	225 - 319	65 - 159
Max StatsNeutral Nature	Lv. 100	290 - 384	175 - 269	205 - 299	195 - 289	255 - 349	175 - 269
Max StatsNeutral Nature	Lv. 100	290 - 384	185 - 279	175 - 269	255 - 349	185 - 279	205 - 299
Max StatsNeutral Nature	Lv. 100	290 - 384	205 - 299	185 - 279	255 - 349	175 - 269	185 - 279
Max StatsNeutral Nature	Lv. 100	192 - 286	133 - 227	95 - 189	105 - 199	105 - 199	105 - 199
Max StatsNeutral Nature	Lv. 100	232 - 326	173 - 267	135 - 229	145 - 239	145 - 239	145 - 239
Max StatsNeutral Nature	Lv. 100	292 - 386	273 - 367	195 - 289	205 - 299	205 - 299	165 - 259
Max StatsNeutral Nature	Lv. 100	322 - 416	225 - 319	185 - 279	313 - 407	185 - 279	265 - 359
Max StatsNeutral Nature	Lv. 100	310 - 404	205 - 299	205 - 299	205 - 299	205 - 299	205 - 299
Max StatsNeutral Nature	Lv. 100	200 - 294	103 - 197	135 - 229	103 - 197	135 - 229	95 - 189
Max StatsNeutral Nature	Lv. 100	230 - 324	129 - 223	165 - 259	131 - 225	165 - 259	125 - 219
Max StatsNeutral Nature	Lv. 100	270 - 364	169 - 263	205 - 299	171 - 265	205 - 299	165 - 259
Max StatsNeutral Nature	Lv. 100	188 - 282	109 - 203	91 - 185	125 - 219	105 - 199	135 - 229
Max StatsNeutral Nature	Lv. 100	226 - 320	133 - 227	121 - 215	165 - 259	135 - 229	165 - 259
Max StatsNeutral Nature	Lv. 100	266 - 360	173 - 267	161 - 255	223 - 317	175 - 269	205 - 299
Max StatsNeutral Nature	Lv. 100	210 - 304	135 - 229	133 - 227	93 - 187	101 - 195	91 - 185
Max StatsNeutral Nature	Lv. 100	240 - 334	165 - 259	165 - 259	123 - 217	131 - 225	121 - 215
Max StatsNeutral Nature	Lv. 100	280 - 374	215 - 309	205 - 299	163 - 257	171 - 265	161 - 255
Max StatsNeutral Nature	Lv. 100	180 - 274	97 - 191	73 - 167	75 - 169	95 - 189	45 - 139
Max StatsNeutral Nature	Lv. 100	280 - 374	157 - 251	133 - 227	95 - 189	115 - 209	185 - 279
Max StatsNeutral Nature	Lv. 100	230 - 324	65 - 159	65 - 159	77 - 171	117 - 211	105 - 199
Max StatsNeutral Nature	Lv. 100	310 - 404	105 - 199	105 - 199	177 - 271	197 - 291	145 - 239
Max StatsNeutral Nature	Lv. 100	190 - 284	45 - 139	65 - 159	85 - 179	165 - 259	115 - 209
Max StatsNeutral Nature	Lv. 100	220 - 314	75 - 169	105 - 199	115 - 209	225 - 319	175 - 269
Max StatsNeutral Nature	Lv. 100	190 - 284	125 - 219	85 - 179	85 - 179	85 - 179	65 - 159
Max StatsNeutral Nature	Lv. 100	250 - 344	185 - 279	145 - 239	125 - 219	145 - 239	85 - 179
Max StatsNeutral Nature	Lv. 100	280 - 374	185 - 279	165 - 259	145 - 239	165 - 259	265 - 359
Max StatsNeutral Nature	Lv. 100	260 - 354	81 - 175	81 - 175	117 - 211	117 - 211	139 - 233
Max StatsNeutral Nature	Lv. 100	360 - 454	121 - 215	121 - 215	157 - 251	157 - 251	139 - 233
Max StatsNeutral Nature	Lv. 100	150 - 244	85 - 179	35 - 129	75 - 169	75 - 169	125 - 219
Max StatsNeutral Nature	Lv. 100	210 - 304	55 - 149	61 - 155	95 - 189	115 - 209	35 - 129
Max StatsNeutral Nature	Lv. 100	290 - 384	65 - 159	35 - 129	85 - 179	45 - 139	35 - 129
Max StatsNeutral Nature	Lv. 100	180 - 274	45 - 139	135 - 229	85 - 179	135 - 229	45 - 139
Max StatsNeutral Nature	Lv. 100	220 - 314	85 - 179	175 - 269	165 - 259	215 - 309	85 - 179
Max StatsNeutral Nature	Lv. 100	190 - 284	105 - 199	95 - 189	145 - 239	95 - 189	145 - 239
Max StatsNeutral Nature	Lv. 100	240 - 334	155 - 249	145 - 239	195 - 289	145 - 239	195 - 289
Max StatsNeutral Nature	Lv. 100	220 - 314	85 - 179	85 - 179	135 - 229	95 - 189	75 - 169
Max StatsNeutral Nature	Lv. 100	250 - 344	115 - 209	115 - 209	165 - 259	125 - 219	95 - 189
Max StatsNeutral Nature	Lv. 100	290 - 384	155 - 249	175 - 269	235 - 329	185 - 279	115 - 209
Max StatsNeutral Nature	Lv. 100	260 - 354	165 - 259	195 - 289	185 - 279	205 - 299	105 - 199
Max StatsNeutral Nature	Lv. 100	250 - 344	45 - 139	105 - 199	45 - 139	105 - 199	85 - 179
Max StatsNeutral Nature	Lv. 100	310 - 404	105 - 199	165 - 259	125 - 219	165 - 259	105 - 199
Max StatsNeutral Nature	Lv. 100	250 - 344	205 - 299	235 - 329	65 - 159	135 - 229	65 - 159
Max StatsNeutral Nature	Lv. 100	290 - 384	155 - 249	155 - 249	185 - 279	205 - 299	145 - 239
Max StatsNeutral Nature	Lv. 100	180 - 274	75 - 169	85 - 179	75 - 169	115 - 209	105 - 199
Max StatsNeutral Nature	Lv. 100	220 - 314	95 - 189	105 - 199	95 - 189	135 - 229	165 - 259
Max StatsNeutral Nature	Lv. 100	260 - 354	115 - 209	145 - 239	115 - 209	195 - 289	225 - 319
Max StatsNeutral Nature	Lv. 100	220 - 314	145 - 239	115 - 209	85 - 179	115 - 209	175 - 269
Max StatsNeutral Nature	Lv. 100	170 - 264	65 - 159	65 - 159	65 - 159	65 - 159	65 - 159
Max StatsNeutral Nature	Lv. 100	260 - 354	155 - 249	115 - 209	215 - 309	175 - 269	65 - 159
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	95 - 189	155 - 249	95 - 189	195 - 289
Max StatsNeutral Nature	Lv. 100	220 - 314	95 - 189	95 - 189	55 - 149	55 - 149	35 - 129
Max StatsNeutral Nature	Lv. 100	300 - 394	175 - 269	175 - 269	135 - 229	135 - 229	75 - 169
Max StatsNeutral Nature	Lv. 100	240 - 334	135 - 229	125 - 219	265 - 359	195 - 289	225 - 319
Max StatsNeutral Nature	Lv. 100	300 - 394	135 - 229	225 - 319	125 - 219	265 - 359	135 - 229
Max StatsNeutral Nature	Lv. 100	230 - 324	175 - 269	89 - 183	175 - 269	89 - 183	187 - 281
Max StatsNeutral Nature	Lv. 100	300 - 394	155 - 249	165 - 259	205 - 299	225 - 319	65 - 159
Max StatsNeutral Nature	Lv. 100	230 - 324	125 - 219	125 - 219	175 - 269	175 - 269	175 - 269
Max StatsNeutral Nature	Lv. 100	206 - 300	149 - 243	101 - 195	149 - 243	101 - 195	101 - 195
Max StatsNeutral Nature	Lv. 100	490 - 584	71 - 165	121 - 215	71 - 165	121 - 215	71 - 165
Max StatsNeutral Nature	Lv. 100	250 - 344	165 - 259	135 - 229	185 - 279	135 - 229	175 - 269
Max StatsNeutral Nature	Lv. 100	210 - 304	135 - 229	185 - 279	75 - 169	75 - 169	35 - 129
Max StatsNeutral Nature	Lv. 100	260 - 354	185 - 279	285 - 379	125 - 219	125 - 219	85 - 179
Max StatsNeutral Nature	Lv. 100	310 - 404	145 - 239	145 - 239	135 - 229	135 - 229	95 - 189
Max StatsNeutral Nature	Lv. 100	240 - 334	155 - 249	215 - 309	75 - 169	135 - 229	175 - 269
Max StatsNeutral Nature	Lv. 100	260 - 354	175 - 269	405 - 499	115 - 209	135 - 229	65 - 159
Max StatsNeutral Nature	Lv. 100	230 - 324	165 - 259	105 - 199	85 - 179	85 - 179	65 - 159
Max StatsNeutral Nature	Lv. 100	290 - 384	245 - 339	155 - 249	125 - 219	125 - 219	95 - 189
Max StatsNeutral Nature	Lv. 100	240 - 334	195 - 289	175 - 269	115 - 209	115 - 209	175 - 269
Max StatsNeutral Nature	Lv. 100	250 - 344	265 - 359	205 - 299	115 - 209	165 - 259	135 - 229
Max StatsNeutral Nature	Lv. 100	150 - 244	25 - 119	465 - 559	25 - 119	465 - 559	15 - 109
Max StatsNeutral Nature	Lv. 100	270 - 364	255 - 349	155 - 249	85 - 179	195 - 289	175 - 269
Max StatsNeutral Nature	Lv. 100	220 - 314	195 - 289	115 - 209	75 - 169	155 - 249	235 - 329
Max StatsNeutral Nature	Lv. 100	230 - 324	165 - 259	105 - 199	105 - 199	105 - 199	85 - 179
Max StatsNeutral Nature	Lv. 100	290 - 384	265 - 359	155 - 249	155 - 249	155 - 249	115 - 209
Max StatsNeutral Nature	Lv. 100	190 - 284	85 - 179	85 - 179	145 - 239	85 - 179	45 - 139
Max StatsNeutral Nature	Lv. 100	230 - 324	105 - 199	245 - 339	185 - 279	165 - 259	65 - 159
Max StatsNeutral Nature	Lv. 100	210 - 304	105 - 199	85 - 179	65 - 159	65 - 159	105 - 199
Max StatsNeutral Nature	Lv. 100	310 - 404	205 - 299	165 - 259	125 - 219	125 - 219	105 - 199
Max StatsNeutral Nature	Lv. 100	240 - 334	115 - 209	195 - 289	135 - 229	195 - 289	75 - 169
Max StatsNeutral Nature	Lv. 100	180 - 274	135 - 229	75 - 169	135 - 229	75 - 169	135 - 229
Max StatsNeutral Nature	Lv. 100	260 - 354	215 - 309	155 - 249	215 - 309	155 - 249	95 - 189
Max StatsNeutral Nature	Lv. 100	200 - 294	115 - 209	95 - 189	135 - 229	95 - 189	155 - 249
Max StatsNeutral Nature	Lv. 100	280 - 374	85 - 179	145 - 239	165 - 259	285 - 379	145 - 239
Max StatsNeutral Nature	Lv. 100	240 - 334	165 - 259	285 - 379	85 - 179	145 - 239	145 - 239
Max StatsNeutral Nature	Lv. 100	200 - 294	125 - 219	65 - 159	165 - 259	105 - 199	135 - 229
Max StatsNeutral Nature	Lv. 100	260 - 354	185 - 279	105 - 199	225 - 319	165 - 259	195 - 289
Max StatsNeutral Nature	Lv. 100	260 - 354	195 - 289	195 - 289	195 - 289	195 - 289	175 - 269
Max StatsNeutral Nature	Lv. 100	290 - 384	125 - 219	125 - 219	85 - 179	85 - 179	85 - 179
Max StatsNeutral Nature	Lv. 100	290 - 384	245 - 339	245 - 339	125 - 219	125 - 219	105 - 199
Max StatsNeutral Nature	Lv. 100	280 - 374	165 - 259	185 - 279	215 - 309	195 - 289	125 - 219
Max StatsNeutral Nature	Lv. 100	256 - 350	195 - 289	129 - 223	175 - 269	135 - 229	175 - 269
Max StatsNeutral Nature	Lv. 100	220 - 314	45 - 139	75 - 169	45 - 139	95 - 189	155 - 249
Max StatsNeutral Nature	Lv. 100	180 - 274	75 - 169	75 - 169	75 - 169	75 - 169	75 - 169
Max StatsNeutral Nature	Lv. 100	210 - 304	195 - 289	195 - 289	75 - 169	225 - 319	145 - 239
Max StatsNeutral Nature	Lv. 100	200 - 294	65 - 159	35 - 129	175 - 269	135 - 229	135 - 229
Max StatsNeutral Nature	Lv. 100	200 - 294	131 - 225	79 - 173	135 - 229	115 - 209	195 - 289
Max StatsNeutral Nature	Lv. 100	200 - 294	155 - 249	79 - 173	145 - 239	115 - 209	171 - 265
Max StatsNeutral Nature	Lv. 100	300 - 394	165 - 259	215 - 309	85 - 179	145 - 239	205 - 299
Max StatsNeutral Nature	Lv. 100	620 - 714	25 - 119	25 - 119	155 - 249	275 - 369	115 - 209
Max StatsNeutral Nature	Lv. 100	290 - 384	175 - 269	155 - 249	235 - 329	205 - 299	235 - 329
Max StatsNeutral Nature	Lv. 100	340 - 434	235 - 329	175 - 269	185 - 279	155 - 249	205 - 299
Max StatsNeutral Nature	Lv. 100	310 - 404	155 - 249	235 - 329	185 - 279	235 - 329	175 - 269
Max StatsNeutral Nature	Lv. 100	210 - 304	133 - 227	105 - 199	95 - 189	105 - 199	87 - 181
Max StatsNeutral Nature	Lv. 100	250 - 344	173 - 267	145 - 239	135 - 229	145 - 239	107 - 201
Max StatsNeutral Nature	Lv. 100	310 - 404	273 - 367	225 - 319	195 - 289	205 - 299	127 - 221
